Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
2000,1,2,00:00,UTC,21
2000,1,4,00:00,UTC,24
2000,1,5,00:00,UTC,20
2000,1,6,00:00,UTC,19
2000,1,7,00:00,UTC,16
2000,1,8,00:00,UTC,13
2000,1,9,00:00,UTC,5
2000,1,11,00:00,UTC,4
2000,1,12,00:00,UTC,1
2000,1,13,00:00,UTC,0
2000,1,14,00:00,UTC,0
2000,1,15,00:00,UTC,-1
2000,1,16,00:00,UTC,-1
2000,1,17,00:00,UTC,-1
2000,1,18,00:00,UTC,-1
2000,1,19,00:00,UTC,-1
2000,1,20,00:00,UTC,-1
2000,1,21,00:00,UTC,10
2000,1,24,00:00,UTC,8
2000,1,25,00:00,UTC,7
2000,1,26,00:00,UTC,10
2000,1,27,00:00,UTC,10
2000,1,28,00:00,UTC,14
2000,1,29,00:00,UTC,14
2000,1,30,00:00,UTC,16
2000,1,31,00:00,UTC,13
2000,2,1,00:00,UTC,13
2000,2,2,00:00,UTC,17
2000,2,3,00:00,UTC,18
2000,2,4,00:00,UTC,17
2000,2,5,00:00,UTC,20
2000,2,6,00:00,UTC,20
2000,2,7,00:00,UTC,17
2000,2,8,00:00,UTC,14
2000,2,9,00:00,UTC,11
2000,2,10,00:00,UTC,11
2000,2,11,00:00,UTC,10
2000,2,12,00:00,UTC,10
2000,2,13,00:00,UTC,8
2000,2,14,00:00,UTC,15
2000,2,15,00:00,UTC,15
2000,2,16,00:00,UTC,17
2000,2,17,00:00,UTC,17
2000,2,18,00:00,UTC,24
2000,2,19,00:00,UTC,25
2000,2,23,00:00,UTC,25
2000,2,24,00:00,UTC,25
2000,2,25,00:00,UTC,25
2000,2,26,00:00,UTC,32
2000,2,27,00:00,UTC,32
2000,2,28,00:00,UTC,27
2000,2,29,00:00,UTC,19
2000,3,1,00:00,UTC,13
2000,3,2,00:00,UTC,12
2000,3,3,00:00,UTC,12
2000,3,5,00:00,UTC,20
2000,3,6,00:00,UTC,20
2000,3,7,00:00,UTC,22
2000,3,8,00:00,UTC,21
2000,3,9,00:00,UTC,20
2000,3,10,00:00,UTC,20
2000,3,11,00:00,UTC,20
2000,3,12,00:00,UTC,20
2000,3,13,00:00,UTC,20
2000,3,14,00:00,UTC,20
2000,3,15,00:00,UTC,18
2000,3,16,00:00,UTC,18
2000,3,17,00:00,UTC,19
2000,3,18,00:00,UTC,18
2000,3,20,00:00,UTC,18
2000,3,21,00:00,UTC,15
2000,3,22,00:00,UTC,15
2000,3,23,00:00,UTC,15
2000,3,24,00:00,UTC,15
2000,3,25,00:00,UTC,15
2000,3,26,00:00,UTC,15
2000,3,27,00:00,UTC,19
2000,3,28,00:00,UTC,18
2000,3,30,00:00,UTC,15
2000,3,31,00:00,UTC,14
2000,4,1,00:00,UTC,13
2000,4,2,00:00,UTC,13
2000,4,3,00:00,UTC,13
2000,4,4,00:00,UTC,12
2000,4,5,00:00,UTC,10
2000,4,6,00:00,UTC,10
2000,4,7,00:00,UTC,8
2000,4,8,00:00,UTC,7
2000,4,9,00:00,UTC,6
2000,4,10,00:00,UTC,-1
2000,4,11,00:00,UTC,-1
2000,4,12,00:00,UTC,-1
2000,4,13,00:00,UTC,-1
2000,4,14,00:00,UTC,-1
2000,4,15,00:00,UTC,-1
2000,4,16,00:00,UTC,-1
2000,4,17,00:00,UTC,-1
2000,4,18,00:00,UTC,-1
2000,4,19,00:00,UTC,-1
2000,4,20,00:00,UTC,-1
2000,4,21,00:00,UTC,-1
2000,4,22,00:00,UTC,-1
2000,4,23,00:00,UTC,-1
2000,4,24,00:00,UTC,-1
2000,4,26,00:00,UTC,-1
2000,4,27,00:00,UTC,-1
2000,4,28,00:00,UTC,-1
2000,4,29,00:00,UTC,-1
2000,4,30,00:00,UTC,-1
2000,5,1,00:00,UTC,-1
2000,5,2,00:00,UTC,-1
2000,5,3,00:00,UTC,-1
2000,5,4,00:00,UTC,-1
2000,5,5,00:00,UTC,-1
2000,5,6,00:00,UTC,-1
2000,5,7,00:00,UTC,-1
2000,5,8,00:00,UTC,-1
2000,5,9,00:00,UTC,-1
2000,5,10,00:00,UTC,-1
2000,5,11,00:00,UTC,-1
2000,5,12,00:00,UTC,-1
2000,5,13,00:00,UTC,-1
2000,5,14,00:00,UTC,-1
2000,5,15,00:00,UTC,-1
2000,5,17,00:00,UTC,-1
2000,5,18,00:00,UTC,-1
2000,5,19,00:00,UTC,-1
2000,5,20,00:00,UTC,-1
2000,5,21,00:00,UTC,-1
2000,5,22,00:00,UTC,-1
2000,5,23,00:00,UTC,-1
2000,5,24,00:00,UTC,-1
2000,5,25,00:00,UTC,-1
2000,5,26,00:00,UTC,-1
2000,5,27,00:00,UTC,-1
2000,5,28,00:00,UTC,-1
2000,5,29,00:00,UTC,-1
2000,5,30,00:00,UTC,-1
2000,5,31,00:00,UTC,-1
2000,6,1,00:00,UTC,-1
2000,6,3,00:00,UTC,-1
2000,6,4,00:00,UTC,-1
2000,6,5,00:00,UTC,-1
2000,6,6,00:00,UTC,-1
2000,6,7,00:00,UTC,-1
2000,6,8,00:00,UTC,-1
2000,6,9,00:00,UTC,-1
2000,6,11,00:00,UTC,-1
2000,6,12,00:00,UTC,-1
2000,6,13,00:00,UTC,-1
2000,6,14,00:00,UTC,-1
2000,6,15,00:00,UTC,-1
2000,6,16,00:00,UTC,-1
2000,6,17,00:00,UTC,-1
2000,6,18,00:00,UTC,-1
2000,6,19,00:00,UTC,-1
2000,6,20,00:00,UTC,-1
2000,6,23,00:00,UTC,-1
2000,6,24,00:00,UTC,-1
2000,6,25,00:00,UTC,-1
2000,6,26,00:00,UTC,-1
2000,6,27,00:00,UTC,-1
2000,6,28,00:00,UTC,-1
2000,6,29,00:00,UTC,-1
2000,6,30,00:00,UTC,-1
2000,7,1,00:00,UTC,-1
2000,7,2,00:00,UTC,-1
2000,7,3,00:00,UTC,-1
2000,7,4,00:00,UTC,-1
2000,7,5,00:00,UTC,-1
2000,7,6,00:00,UTC,-1
2000,7,7,00:00,UTC,-1
2000,7,8,00:00,UTC,-1
2000,7,10,00:00,UTC,-1
2000,7,11,00:00,UTC,-1
2000,7,12,00:00,UTC,-1
2000,7,13,00:00,UTC,-1
2000,7,14,00:00,UTC,-1
2000,7,16,00:00,UTC,-1
2000,7,17,00:00,UTC,-1
2000,7,18,00:00,UTC,-1
2000,7,19,00:00,UTC,-1
2000,7,20,00:00,UTC,-1
2000,7,21,00:00,UTC,-1
2000,7,22,00:00,UTC,-1
2000,7,24,00:00,UTC,-1
2000,7,25,00:00,UTC,-1
2000,7,26,00:00,UTC,-1
2000,7,27,00:00,UTC,-1
2000,7,28,00:00,UTC,-1
2000,7,29,00:00,UTC,-1
2000,7,30,00:00,UTC,-1
2000,8,1,00:00,UTC,-1
2000,8,2,00:00,UTC,-1
2000,8,3,00:00,UTC,-1
2000,8,4,00:00,UTC,-1
2000,8,5,00:00,UTC,-1
2000,8,6,00:00,UTC,-1
2000,8,7,00:00,UTC,-1
2000,8,8,00:00,UTC,-1
2000,8,9,00:00,UTC,-1
2000,8,10,00:00,UTC,-1
2000,8,11,00:00,UTC,-1
2000,8,12,00:00,UTC,-1
2000,8,13,00:00,UTC,-1
2000,8,14,00:00,UTC,-1
2000,8,15,00:00,UTC,-1
2000,8,16,00:00,UTC,-1
2000,8,17,00:00,UTC,-1
2000,8,19,00:00,UTC,-1
2000,8,20,00:00,UTC,-1
2000,8,21,00:00,UTC,-1
2000,8,22,00:00,UTC,-1
2000,8,23,00:00,UTC,-1
2000,8,24,00:00,UTC,-1
2000,8,25,00:00,UTC,-1
2000,8,26,00:00,UTC,-1
2000,8,27,00:00,UTC,-1
2000,8,28,00:00,UTC,-1
2000,8,29,00:00,UTC,-1
2000,8,30,00:00,UTC,-1
2000,8,31,00:00,UTC,-1
2000,9,1,00:00,UTC,-1
2000,9,2,00:00,UTC,-1
2000,9,3,00:00,UTC,-1
2000,9,4,00:00,UTC,-1
2000,9,5,00:00,UTC,-1
2000,9,6,00:00,UTC,-1
2000,9,7,00:00,UTC,-1
2000,9,8,00:00,UTC,-1
2000,9,9,00:00,UTC,-1
2000,9,11,00:00,UTC,-1
2000,9,12,00:00,UTC,-1
2000,9,13,00:00,UTC,-1
2000,9,14,00:00,UTC,-1
2000,9,15,00:00,UTC,-1
2000,9,17,00:00,UTC,-1
2000,9,18,00:00,UTC,-1
2000,9,19,00:00,UTC,-1
2000,9,20,00:00,UTC,-1
2000,9,21,00:00,UTC,-1
2000,9,22,00:00,UTC,-1
2000,9,23,00:00,UTC,-1
2000,9,24,00:00,UTC,-1
2000,9,26,00:00,UTC,-1
2000,9,27,00:00,UTC,-1
2000,9,28,00:00,UTC,-1
2000,9,29,00:00,UTC,-1
2000,9,30,00:00,UTC,-1
2000,10,3,00:00,UTC,-1
2000,10,4,00:00,UTC,-1
2000,10,5,00:00,UTC,-1
2000,10,6,00:00,UTC,-1
2000,10,7,00:00,UTC,-1
2000,10,8,00:00,UTC,-1
2000,10,9,00:00,UTC,-1
2000,10,10,00:00,UTC,-1
2000,10,11,00:00,UTC,-1
2000,10,12,00:00,UTC,-1
2000,10,13,00:00,UTC,-1
2000,10,14,00:00,UTC,-1
2000,10,15,00:00,UTC,-1
2000,10,16,00:00,UTC,-1
2000,10,17,00:00,UTC,-1
2000,10,22,00:00,UTC,-1
2000,10,23,00:00,UTC,-1
2000,10,24,00:00,UTC,-1
2000,10,25,00:00,UTC,-1
2000,10,26,00:00,UTC,-1
2000,10,27,00:00,UTC,-1
2000,10,28,00:00,UTC,-1
2000,10,29,00:00,UTC,-1
2000,10,30,00:00,UTC,-1
2000,10,31,00:00,UTC,-1
2000,11,2,00:00,UTC,-1
2000,11,3,00:00,UTC,-1
2000,11,4,00:00,UTC,-1
2000,11,5,00:00,UTC,-1
2000,11,6,00:00,UTC,-1
2000,11,7,00:00,UTC,-1
2000,11,9,00:00,UTC,-1
2000,11,10,00:00,UTC,-1
2000,11,11,00:00,UTC,-1
2000,11,12,00:00,UTC,-1
2000,11,13,00:00,UTC,-1
2000,11,14,00:00,UTC,-1
2000,11,15,00:00,UTC,-1
2000,11,16,00:00,UTC,-1
2000,11,17,00:00,UTC,-1
