"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.045001067E-4;2.882256317E0;2.801125031E0;7.130571899E0;8.185276936E0
1.034549996E-2;2.936892700E0;2.764750671E0;7.305108948E0;8.344687037E0
2.038649982E-2;3.086431732E0;2.800526276E0;7.694449310E0;8.750631888E0
3.042849991E-2;3.043022003E0;2.689157867E0;8.039182434E0;9.006664597E0
4.046950024E-2;3.007695465E0;2.600542145E0;8.414152679E0;9.306289098E0
5.051050009E-2;3.157234497E0;2.670147400E0;8.905281372E0;9.818444537E0
6.055250019E-2;3.326981506E0;2.723885651E0;9.159752197E0;1.011876570E1
7.059350004E-2;3.512595520E0;2.714904327E0;9.120533752E0;1.014362700E1
8.063449990E-2;3.761677551E0;2.730172577E0;9.009464722E0;1.013777662E1
9.067650000E-2;3.982169037E0;2.761158142E0;8.877588959E0;1.011401257E1
1.007174999E-1;4.057312775E0;2.633473663E0;8.863967285E0;1.009786544E1
1.107585002E-1;3.913162537E0;2.488125916E0;8.846154327E0;9.987895574E0
1.208004998E-1;3.554957428E0;2.416574707E0;8.514144745E0;9.537725954E0
1.308415001E-1;3.184477844E0;2.308948517E0;7.960895233E0;8.879639368E0
1.408825000E-1;2.941832428E0;2.192341003E0;7.415279846E0;8.273276999E0
1.509234998E-1;3.004552002E0;2.354154510E0;7.145540771E0;8.101119003E0
1.609654999E-1;3.159928894E0;2.588866425E0;7.520061951E0;8.557961891E0
1.710065003E-1;3.074007568E0;2.889141998E0;8.411158905E0;9.409795861E0
1.810475001E-1;2.647095337E0;2.944077759E0;8.915759583E0;9.755279417E0
1.910895002E-1;2.276615753E0;2.998414764E0;9.383087769E0;1.011018330E1
2.011305001E-1;2.175126801E0;3.242557068E0;9.706714783E0;1.046258404E1
2.111714999E-1;2.036215668E0;3.024610291E0;9.554032288E0;1.022614173E1
2.212135000E-1;1.668580170E0;2.257305908E0;9.191336517E0;9.610424378E0
2.312544999E-1;1.618434448E0;1.562151489E0;8.727301483E0;9.012515660E0
2.412955002E-1;2.105820923E0;1.539847870E0;8.190068665E0;8.595512664E0
2.513374998E-1;2.380649414E0;1.809886322E0;8.120164032E0;8.653337162E0
2.613785001E-1;2.495760040E0;2.217488708E0;8.478967896E0;9.112572135E0
2.714195000E-1;2.228266296E0;2.568359070E0;8.850345612E0;9.481047223E0
2.814615001E-1;1.726210327E0;2.781964874E0;9.162596283E0;9.729969234E0
2.915025000E-1;1.265767822E0;2.862497406E0;9.359736328E0;9.869180498E0
3.015434998E-1;1.002465363E0;2.784359894E0;9.439969482E0;9.892958134E0
3.115854999E-1;8.469387817E-1;2.382146301E0;9.283095703E0;9.621215731E0
3.216265002E-1;1.012195129E0;1.880240021E0;8.866511993E0;9.120026121E0
3.316675001E-1;1.576820984E0;1.663790131E0;8.602311401E0;8.902489734E0
3.417095002E-1;1.876198425E0;1.797761536E0;8.602311401E0;8.986202119E0
3.517505000E-1;2.090103607E0;1.955084381E0;8.802744598E0;9.256305985E0
3.617914999E-1;1.939965820E0;1.904938660E0;9.137897644E0;9.533804699E0
3.718335000E-1;1.835632782E0;2.056872711E0;9.708660736E0;1.009249059E1
3.818744998E-1;1.644031219E0;2.228865051E0;1.005728577E1;1.043166694E1
3.919155002E-1;1.194216614E0;2.080822906E0;9.892328796E0;1.017910341E1
4.019575003E-1;7.575746155E-1;1.966460724E0;9.585167542E0;9.814088031E0
4.119985001E-1;7.863148499E-1;2.003433838E0;9.287286987E0;9.533401165E0
4.220395000E-1;1.110091553E0;2.163002014E0;9.472451935E0;9.779479875E0
4.320804998E-1;1.534908142E0;2.121837616E0;9.363029480E0;9.722368997E0
4.421224999E-1;1.795665894E0;2.096091156E0;8.809330902E0;9.231593854E0
4.521635002E-1;1.811083832E0;1.995500336E0;8.887468414E0;9.287041566E0
4.622045001E-1;1.534758453E0;1.711391144E0;8.804989929E0;9.100120373E0
4.722465002E-1;1.419348450E0;1.705702972E0;9.157057800E0;9.422084706E0
4.822875001E-1;1.465003510E0;1.688039703E0;9.535321198E0;9.793776782E0
4.923284999E-1;1.636546783E0;1.733545074E0;1.007449997E1;1.035272976E1
5.023705000E-1;1.702110443E0;1.666035461E0;9.857151947E0;1.014082337E1
5.124114999E-1;1.412612457E0;1.418899384E0;9.334588623E0;9.546899715E0
5.224525002E-1;1.064885559E0;1.135239258E0;9.005722504E0;9.139244347E0
5.324944998E-1;8.728349304E-1;7.851173401E-1;8.716972961E0;8.795673235E0
5.425355001E-1;9.134005737E-1;6.761439514E-1;8.879684601E0;8.952109799E0
5.525765000E-1;6.846762085E-1;8.638536072E-1;9.482780457E0;9.546630283E0
5.626185001E-1;6.047424316E-2;6.255491638E-1;1.015787659E1;1.017729953E1
5.726594999E-1;-1.540296936E-1;4.153862000E-1;1.040156982E1;1.041100022E1
5.827005003E-1;-1.054706726E0;7.294331360E-1;1.097996704E1;1.105459883E1
5.927424999E-1;-1.456171875E0;1.117276611E0;1.083776276E1;1.099208102E1
6.027835002E-1;-2.784210205E-2;5.730084229E-1;1.030052994E1;1.031649315E1
6.128245001E-1;1.653910675E0;-7.708969116E-2;1.047386948E1;1.060392876E1
6.228665002E-1;2.654130707E0;1.204994202E-1;9.408385162E0;9.776330666E0
6.329075000E-1;2.031575317E0;1.133892059E0;1.046668442E1;1.072214961E1
6.429484999E-1;3.262615356E0;5.375321960E-1;1.291199936E1;1.332866562E1
6.529905000E-1;2.599793701E0;2.103126526E-1;1.117426300E1;1.147463779E1
6.630314998E-1;1.491049347E0;4.559518433E-1;9.872120819E0;9.994492969E0
6.730725002E-1;6.457571411E-1;1.898052979E-1;9.566905518E0;9.590553139E0
6.831135000E-1;3.870950317E-1;-3.369493103E-1;9.562564545E0;9.576325917E0
6.931555001E-1;6.029461670E-1;-4.978646851E-1;9.550140381E0;9.582097611E0
7.031965000E-1;8.244854736E-1;-1.654060364E-1;9.333241425E0;9.371047484E0
7.132374998E-1;1.316512299E0;3.649411011E-1;9.392069092E0;9.490908727E0
7.232794999E-1;1.371298370E0;9.524693298E-1;9.318721619E0;9.467113058E0
7.333205002E-1;1.256038055E0;1.088686066E0;8.872948608E0;9.027296713E0
7.433615001E-1;1.317709808E0;1.181343384E0;8.576265564E0;8.756955085E0
7.534035002E-1;1.726659393E0;1.303639069E0;8.631051636E0;8.898082930E0
7.634445000E-1;2.471809845E0;1.364412689E0;8.766070862E0;9.209531163E0
7.734854999E-1;3.040327606E0;8.975335693E-1;9.901459808E0;1.039654100E1
7.835275000E-1;3.404220886E0;5.691165161E-1;1.076621155E1;1.130592431E1
7.935684999E-1;2.861748962E0;3.667373657E-1;1.050395691E1;1.089298922E1
8.036095002E-1;2.495909729E0;3.712280273E-1;9.125174103E0;9.467638461E0
8.136514998E-1;2.865790558E0;8.388555908E-1;7.400610352E0;7.980317525E0
8.236925001E-1;3.813619537E0;1.388512573E0;6.628216553E0;7.772059946E0
8.337339167E-1;3.858526154E0;1.634002075E0;7.305707703E0;8.422087146E0
8.437749166E-1;3.385210419E0;1.660197601E0;7.863298187E0;8.720513978E0
