"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]"
"Halsua kk","1971","1","1","02:00","-1","23"
"Halsua kk","1971","1","2","02:00","0.4","23"
"Halsua kk","1971","1","3","02:00","1","24"
"Halsua kk","1971","1","4","02:00","-1","25"
"Halsua kk","1971","1","5","02:00","-1","25"
"Halsua kk","1971","1","6","02:00","-1","25"
"Halsua kk","1971","1","7","02:00","9.6","25"
"Halsua kk","1971","1","8","02:00","0.2","33"
"Halsua kk","1971","1","9","02:00","-1","33"
"Halsua kk","1971","1","10","02:00","-1","25"
"Halsua kk","1971","1","11","02:00","-1","23"
"Halsua kk","1971","1","12","02:00","-1","22"
"Halsua kk","1971","1","13","02:00","1.2","22"
"Halsua kk","1971","1","14","02:00","-1","22"
"Halsua kk","1971","1","15","02:00","0.9","22"
"Halsua kk","1971","1","16","02:00","3","22"
"Halsua kk","1971","1","17","02:00","1.5","24"
"Halsua kk","1971","1","18","02:00","3.8","24"
"Halsua kk","1971","1","19","02:00","1.6","25"
"Halsua kk","1971","1","20","02:00","4.6","27"
"Halsua kk","1971","1","21","02:00","1.3","29"
"Halsua kk","1971","1","22","02:00","-1","28"
"Halsua kk","1971","1","23","02:00","4.3","26"
"Halsua kk","1971","1","24","02:00","1.8","25"
"Halsua kk","1971","1","25","02:00","2","25"
"Halsua kk","1971","1","26","02:00","6","24"
"Halsua kk","1971","1","27","02:00","2.5","21"
"Halsua kk","1971","1","28","02:00","-1","21"
"Halsua kk","1971","1","29","02:00","-1","21"
"Halsua kk","1971","1","30","02:00","-1","21"
"Halsua kk","1971","1","31","02:00","14.2","21"
"Halsua kk","1971","2","1","02:00","3.2","46"
"Halsua kk","1971","2","2","02:00","3.3","46"
"Halsua kk","1971","2","3","02:00","1","46"
"Halsua kk","1971","2","4","02:00","0","46"
"Halsua kk","1971","2","5","02:00","4.7","46"
"Halsua kk","1971","2","6","02:00","0","49"
"Halsua kk","1971","2","7","02:00","-1","49"
"Halsua kk","1971","2","8","02:00","-1","49"
"Halsua kk","1971","2","9","02:00","-1","49"
"Halsua kk","1971","2","10","02:00","-1","49"
"Halsua kk","1971","2","11","02:00","0","49"
"Halsua kk","1971","2","12","02:00","4.2","47"
"Halsua kk","1971","2","13","02:00","2.3","46"
"Halsua kk","1971","2","14","02:00","0.2","47"
"Halsua kk","1971","2","15","02:00","0.6","47"
"Halsua kk","1971","2","16","02:00","-1","47"
"Halsua kk","1971","2","17","02:00","-1","47"
"Halsua kk","1971","2","18","02:00","-1","47"
"Halsua kk","1971","2","19","02:00","1.1","47"
"Halsua kk","1971","2","20","02:00","1.4","47"
"Halsua kk","1971","2","21","02:00","-1","47"
"Halsua kk","1971","2","22","02:00","-1","47"
"Halsua kk","1971","2","23","02:00","2.5","47"
"Halsua kk","1971","2","24","02:00","5","49"
"Halsua kk","1971","2","25","02:00","4.1","52"
"Halsua kk","1971","2","26","02:00","-1","53"
"Halsua kk","1971","2","27","02:00","-1","53"
"Halsua kk","1971","2","28","02:00","-1","53"
"Halsua kk","1971","3","1","02:00","-1","53"
"Halsua kk","1971","3","2","02:00","-1","53"
"Halsua kk","1971","3","3","02:00","-1","52"
"Halsua kk","1971","3","4","02:00","0.4","52"
"Halsua kk","1971","3","5","02:00","-1","52"
"Halsua kk","1971","3","6","02:00","4.9","52"
"Halsua kk","1971","3","7","02:00","4.5","53"
"Halsua kk","1971","3","8","02:00","0","53"
"Halsua kk","1971","3","9","02:00","0.6","53"
"Halsua kk","1971","3","10","02:00","-1","58"
"Halsua kk","1971","3","11","02:00","-1","58"
"Halsua kk","1971","3","12","02:00","-1","58"
"Halsua kk","1971","3","13","02:00","1.7","58"
"Halsua kk","1971","3","14","02:00","0.4","60"
"Halsua kk","1971","3","15","02:00","-1","60"
"Halsua kk","1971","3","16","02:00","0.8","60"
"Halsua kk","1971","3","17","02:00","0.8","59"
"Halsua kk","1971","3","18","02:00","0.8","58"
