Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanlaatuindeksi (index),Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Typpimonoksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),musta hiili PM2.5 (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2013,1,1,00:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,01:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,02:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,03:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,04:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,05:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,06:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,07:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,08:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,09:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,10:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,11:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,12:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,13:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,14:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,15:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,16:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,17:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,18:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,19:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,20:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,21:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,22:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,1,23:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,00:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,01:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,02:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,03:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,04:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,05:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,06:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,07:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,08:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,09:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,10:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,11:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,12:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,13:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,14:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,15:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,16:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,17:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,18:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,19:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,20:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,21:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,22:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,2,23:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,00:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,01:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,02:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,03:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,04:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,05:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,06:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,07:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,08:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,09:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,10:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,11:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,12:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,13:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,14:00,UTC,-,-,-,-,-,-,-,-,-,-
2013,1,3,15:00,UTC,-,-,46,31,-,5.4,-,-,-,-
2013,1,3,16:00,UTC,-,-,54,37,-,9,-,-,-,-
2013,1,3,17:00,UTC,-,-,33,20,-,8.4,-,-,-,-
2013,1,3,18:00,UTC,-,-,37,29,-,10.4,-,-,-,-
2013,1,3,19:00,UTC,-,-,26,18,-,11.4,-,-,-,-
2013,1,3,20:00,UTC,-,-,21,11,-,11.2,-,-,-,-
2013,1,3,21:00,UTC,-,-,19,5,-,9.9,-,-,-,-
2013,1,3,22:00,UTC,-,-,27,6,-,10,-,-,-,-
2013,1,3,23:00,UTC,-,-,27.2,3,-,10.5,-,-,-,-
2013,1,4,00:00,UTC,-,-,24.4,3.2,-,9.7,-,-,-,-
2013,1,4,01:00,UTC,-,-,20.8,2,-,8.5,-,-,-,-
2013,1,4,02:00,UTC,-,-,20.3,2.1,-,3.7,-,-,-,-
2013,1,4,03:00,UTC,-,-,19.6,3.4,-,5,-,-,-,-
2013,1,4,04:00,UTC,-,-,21.1,6.8,-,5.3,-,-,-,-
2013,1,4,05:00,UTC,-,-,27.6,24.7,-,4.7,-,-,-,-
2013,1,4,06:00,UTC,-,-,37.4,39.7,-,1.9,-,-,-,-
2013,1,4,07:00,UTC,-,-,40.1,43.6,-,4.7,-,-,-,-
2013,1,4,08:00,UTC,-,-,31.9,27.4,-,8.4,-,-,-,-
2013,1,4,09:00,UTC,-,-,35.3,46.9,-,6.9,-,-,-,-
2013,1,4,10:00,UTC,-,-,31.9,38.1,-,5.5,-,-,-,-
2013,1,4,11:00,UTC,-,-,45.3,74.5,-,5.6,-,-,-,-
2013,1,4,12:00,UTC,-,-,49.6,78,-,5.8,-,-,-,-
2013,1,4,13:00,UTC,-,-,55.1,85.7,-,7.5,-,-,-,-
2013,1,4,14:00,UTC,-,-,52.8,72.2,-,8.6,-,-,-,-
2013,1,4,15:00,UTC,-,-,46.5,57.2,-,7.2,-,-,-,-
2013,1,4,16:00,UTC,-,-,42.8,54.4,-,6.7,-,-,-,-
2013,1,4,17:00,UTC,-,-,40.3,55.3,-,6.3,-,-,-,-
2013,1,4,18:00,UTC,-,-,26.3,21.7,-,7,-,-,-,-
2013,1,4,19:00,UTC,-,-,15.2,13.2,-,6.5,-,-,-,-
2013,1,4,20:00,UTC,-,-,11,7.5,-,4.7,-,-,-,-
2013,1,4,21:00,UTC,-,-,7,2.5,-,3.9,-,-,-,-
2013,1,4,22:00,UTC,-,-,3.6,1.9,-,2.2,-,-,-,-
2013,1,4,23:00,UTC,-,-,4.4,3.7,-,3.9,-,-,-,-
2013,1,5,00:00,UTC,-,-,2.7,2.1,-,4.2,-,-,-,-
2013,1,5,01:00,UTC,-,-,1.8,1.1,-,2.5,-,-,-,-
2013,1,5,02:00,UTC,-,-,1.3,0.9,-,3,-,-,-,-
2013,1,5,03:00,UTC,-,-,1.1,1,-,2.7,-,-,-,-
2013,1,5,04:00,UTC,-,-,4.5,4.2,-,3.1,-,-,-,-
2013,1,5,05:00,UTC,-,-,6.2,2.1,-,1.5,-,-,-,-
2013,1,5,06:00,UTC,-,-,5.9,2.7,-,2.5,-,-,-,-
2013,1,5,07:00,UTC,-,-,9.9,5.5,-,3.9,-,-,-,-
2013,1,5,08:00,UTC,-,-,11.5,7,-,4,-,-,-,-
2013,1,5,09:00,UTC,-,-,13.5,8.5,-,0.8,-,-,-,-
2013,1,5,10:00,UTC,-,-,18.1,12.2,-,2.6,-,-,-,-
2013,1,5,11:00,UTC,-,-,19.9,14.2,-,2.4,-,-,-,-
2013,1,5,12:00,UTC,-,-,19.3,15.6,-,3.3,-,-,-,-
2013,1,5,13:00,UTC,-,-,18.2,13.6,-,3.1,-,-,-,-
2013,1,5,14:00,UTC,-,-,20.5,13.2,-,4.7,-,-,-,-
2013,1,5,15:00,UTC,-,-,22.1,13.5,-,6.7,-,-,-,-
2013,1,5,16:00,UTC,-,-,19.9,12.5,-,4.2,-,-,-,-
2013,1,5,17:00,UTC,-,-,20.6,9.1,-,4.5,-,-,-,-
2013,1,5,18:00,UTC,-,-,14.9,5.2,-,11.4,-,-,-,-
2013,1,5,19:00,UTC,-,-,11,4.2,-,7.1,-,-,-,-
2013,1,5,20:00,UTC,-,-,9,4.3,-,5.5,-,-,-,-
2013,1,5,21:00,UTC,-,-,5.8,3.2,-,3.2,-,-,-,-
2013,1,5,22:00,UTC,-,-,4.5,2.6,-,4.4,-,-,-,-
2013,1,5,23:00,UTC,-,-,5,2.7,-,4.5,-,-,-,-
2013,1,6,00:00,UTC,-,-,4.5,2.3,-,6.6,-,-,-,-
2013,1,6,01:00,UTC,-,-,3.8,4.3,-,3.4,-,-,-,-
2013,1,6,02:00,UTC,-,-,4.1,2.1,-,4,-,-,-,-
2013,1,6,03:00,UTC,-,-,4.7,1.2,-,5.2,-,-,-,-
2013,1,6,04:00,UTC,-,-,3.4,0.8,-,4.8,-,-,-,-
2013,1,6,05:00,UTC,-,-,3.1,0.8,-,6.3,-,-,-,-
2013,1,6,06:00,UTC,-,-,4.5,0.7,-,5.5,-,-,-,-
2013,1,6,07:00,UTC,-,-,1.6,1.3,-,4.6,-,-,-,-
2013,1,6,08:00,UTC,-,-,2.8,1.4,-,4.9,-,-,-,-
2013,1,6,09:00,UTC,-,-,4.1,1.9,-,5.8,-,-,-,-
2013,1,6,10:00,UTC,-,-,6.7,5.4,-,4.8,-,-,-,-
2013,1,6,11:00,UTC,-,-,6.6,5.5,-,4.8,-,-,-,-
2013,1,6,12:00,UTC,-,-,12.4,8.8,-,4.9,-,-,-,-
2013,1,6,13:00,UTC,-,-,15.4,9.9,-,6.7,-,-,-,-
2013,1,6,14:00,UTC,-,-,21.6,15.7,-,7.8,-,-,-,-
2013,1,6,15:00,UTC,-,-,19.2,11.1,-,7.5,-,-,-,-
2013,1,6,16:00,UTC,-,-,19.9,12.7,-,10.8,-,-,-,-
2013,1,6,17:00,UTC,-,-,8.3,5.1,-,7.6,-,-,-,-
2013,1,6,18:00,UTC,-,-,5.8,3.5,-,8.7,-,-,-,-
2013,1,6,19:00,UTC,-,-,8.4,5.2,-,10.4,-,-,-,-
2013,1,6,20:00,UTC,-,-,7.5,4.8,-,8.4,-,-,-,-
2013,1,6,21:00,UTC,-,-,3.1,1.3,-,7.7,-,-,-,-
2013,1,6,22:00,UTC,-,-,1.7,1,-,6.9,-,-,-,-
2013,1,6,23:00,UTC,-,-,2.7,2,-,7.5,-,-,-,-
2013,1,7,00:00,UTC,-,-,1.7,0.6,-,7.2,-,-,-,-
