datetimeISO,year,month,day,hour,minute,second,value
2015-05-03T00:30:00.146877Z,2015,5,3,0,30,0,407.843
2015-05-03T01:29:59.981282Z,2015,5,3,1,30,0,408.493
2015-05-03T02:30:00.131037Z,2015,5,3,2,30,0,409.794
2015-05-03T03:29:59.965443Z,2015,5,3,3,30,0,409.289
2015-05-03T04:30:00.115198Z,2015,5,3,4,30,0,407.546
2015-05-03T05:29:59.949603Z,2015,5,3,5,30,0,406.783
2015-05-03T06:30:00.099358Z,2015,5,3,6,30,0,405.832
2015-05-03T07:29:59.933763Z,2015,5,3,7,30,0,405.458
2015-05-03T08:30:00.083518Z,2015,5,3,8,30,0,405.355
2015-05-03T09:29:59.917917Z,2015,5,3,9,30,0,405.263
2015-05-03T10:30:00.067679Z,2015,5,3,10,30,0,404.976
2015-05-03T11:29:59.902077Z,2015,5,3,11,30,0,405.029
2015-05-03T12:30:00.051839Z,2015,5,3,12,30,0,404.766
2015-05-03T13:29:59.886237Z,2015,5,3,13,30,0,404.38
2015-05-03T14:30:00.035999Z,2015,5,3,14,30,0,404.209
2015-05-03T15:29:59.870398Z,2015,5,3,15,30,0,404.202
2015-05-03T16:30:00.020160Z,2015,5,3,16,30,0,404.626
2015-05-03T17:29:59.854558Z,2015,5,3,17,30,0,405.323
2015-05-03T18:30:00.004320Z,2015,5,3,18,30,0,405.605
2015-05-03T19:30:00.154082Z,2015,5,3,19,30,0,405.926
2015-05-03T20:29:59.988480Z,2015,5,3,20,30,0,406.42
2015-05-03T21:30:00.138242Z,2015,5,3,21,30,0,407.104
2015-05-03T22:29:59.972641Z,2015,5,3,22,30,0,407.589
2015-05-03T23:30:00.122403Z,2015,5,3,23,30,0,408.037
2015-05-04T00:29:59.956801Z,2015,5,4,0,30,0,408.331
2015-05-04T01:30:00.106563Z,2015,5,4,1,30,0,408.697
2015-05-04T02:29:59.940961Z,2015,5,4,2,30,0,409.122
2015-05-04T03:30:00.090724Z,2015,5,4,3,30,0,408.735
2015-05-04T04:29:59.925122Z,2015,5,4,4,30,0,407.724
2015-05-04T05:30:00.074877Z,2015,5,4,5,30,0,406.022
2015-05-04T06:29:59.909282Z,2015,5,4,6,30,0,404.617
2015-05-04T07:30:00.059037Z,2015,5,4,7,30,0,404.181
2015-05-04T08:29:59.893443Z,2015,5,4,8,30,0,404.306
2015-05-04T09:30:00.043197Z,2015,5,4,9,30,0,404.361
2015-05-04T10:29:59.877603Z,2015,5,4,10,30,0,404.462
2015-05-04T11:30:00.027358Z,2015,5,4,11,30,0,404.105
2015-05-04T12:29:59.861763Z,2015,5,4,12,30,0,404.361
2015-05-04T13:30:00.011518Z,2015,5,4,13,30,0,404.136
2015-05-04T14:29:59.845916Z,2015,5,4,14,30,0,404.051
2015-05-04T15:29:59.995679Z,2015,5,4,15,30,0,404.281
2015-05-04T16:30:00.145441Z,2015,5,4,16,30,0,404.145
2015-05-04T17:29:59.979839Z,2015,5,4,17,30,0,404.321
2015-05-04T18:30:00.129601Z,2015,5,4,18,30,0,405.044
2015-05-04T19:29:59.963999Z,2015,5,4,19,30,0,404.979
2015-05-04T20:30:00.113761Z,2015,5,4,20,30,0,405.591
2015-05-04T21:29:59.948160Z,2015,5,4,21,30,0,406.747
2015-05-04T22:30:00.097922Z,2015,5,4,22,30,0,407.045
2015-05-04T23:29:59.932320Z,2015,5,4,23,30,0,407.176
2015-05-05T00:30:00.082082Z,2015,5,5,0,30,0,408.04
2015-05-05T01:29:59.916480Z,2015,5,5,1,30,0,409.038
2015-05-05T02:30:00.066242Z,2015,5,5,2,30,0,410.04
2015-05-05T03:29:59.900641Z,2015,5,5,3,30,0,410.421
2015-05-05T04:30:00.050403Z,2015,5,5,4,30,0,410.332
2015-05-05T05:29:59.884801Z,2015,5,5,5,30,0,407.04
2015-05-05T06:30:00.034563Z,2015,5,5,6,30,0,405.573
2015-05-05T07:29:59.868961Z,2015,5,5,7,30,0,404.232
2015-05-05T08:30:00.018723Z,2015,5,5,8,30,0,403.826
2015-05-05T09:29:59.853122Z,2015,5,5,9,30,0,403.306
2015-05-05T10:30:00.002877Z,2015,5,5,10,30,0,403.639
2015-05-05T11:30:00.152639Z,2015,5,5,11,30,0,402.969
2015-05-05T12:29:59.987037Z,2015,5,5,12,30,0,403.15
2015-05-05T13:30:00.136799Z,2015,5,5,13,30,0,402.835
2015-05-05T14:29:59.971197Z,2015,5,5,14,30,0,403.085
2015-05-05T15:30:00.120959Z,2015,5,5,15,30,0,403.289
2015-05-05T16:29:59.955358Z,2015,5,5,16,30,0,403.696
2015-05-05T17:30:00.105120Z,2015,5,5,17,30,0,403.624
2015-05-05T18:29:59.939518Z,2015,5,5,18,30,0,403.955
2015-05-05T19:30:00.089280Z,2015,5,5,19,30,0,404.465
2015-05-05T20:29:59.923678Z,2015,5,5,20,30,0,405.195
2015-05-05T21:30:00.073441Z,2015,5,5,21,30,0,405.783
2015-05-05T22:29:59.907839Z,2015,5,5,22,30,0,406.828
2015-05-05T23:30:00.057601Z,2015,5,5,23,30,0,407.745
2015-05-06T00:29:59.891999Z,2015,5,6,0,30,0,408.634
2015-05-06T01:30:00.041761Z,2015,5,6,1,30,0,409.352
2015-05-06T02:29:59.876160Z,2015,5,6,2,30,0,409.676
2015-05-06T03:30:00.025922Z,2015,5,6,3,30,0,409.545
2015-05-06T04:29:59.860320Z,2015,5,6,4,30,0,409.218
2015-05-06T05:30:00.010082Z,2015,5,6,5,30,0,407.711
2015-05-06T06:29:59.844480Z,2015,5,6,6,30,0,405.748
2015-05-06T07:29:59.994242Z,2015,5,6,7,30,0,404.448
2015-05-06T08:30:00.143997Z,2015,5,6,8,30,0,403.154
2015-05-06T09:29:59.978403Z,2015,5,6,9,30,0,401.936
2015-05-06T10:30:00.128158Z,2015,5,6,10,30,0,400.664
2015-05-06T11:29:59.962563Z,2015,5,6,11,30,0,401.703
2015-05-06T12:30:00.112318Z,2015,5,6,12,30,0,402.513
2015-05-06T13:29:59.946723Z,2015,5,6,13,30,0,402.879
2015-05-06T14:30:00.096478Z,2015,5,6,14,30,0,403.064
2015-05-06T15:29:59.930877Z,2015,5,6,15,30,0,403.799
2015-05-06T16:30:00.080639Z,2015,5,6,16,30,0,406.015
2015-05-06T17:29:59.915037Z,2015,5,6,17,30,0,407.861
2015-05-06T18:30:00.064799Z,2015,5,6,18,30,0,407.621
2015-05-06T19:29:59.899197Z,2015,5,6,19,30,0,408.382
2015-05-06T20:30:00.048959Z,2015,5,6,20,30,0,409.633
2015-05-06T21:29:59.883358Z,2015,5,6,21,30,0,410.509
2015-05-06T22:30:00.033120Z,2015,5,6,22,30,0,410.636
2015-05-06T23:29:59.867518Z,2015,5,6,23,30,0,411.229
2015-05-07T00:30:00.017280Z,2015,5,7,0,30,0,410.84
2015-05-07T01:29:59.851678Z,2015,5,7,1,30,0,410.25
2015-05-07T02:30:00.001440Z,2015,5,7,2,30,0,409.405
2015-05-07T03:30:00.151203Z,2015,5,7,3,30,0,409.321
2015-05-07T04:29:59.985601Z,2015,5,7,4,30,0,409.778
2015-05-07T05:30:00.135363Z,2015,5,7,5,30,0,408.677
2015-05-07T06:29:59.969761Z,2015,5,7,6,30,0,407.639
2015-05-07T07:30:00.119523Z,2015,5,7,7,30,0,405.895
2015-05-07T08:29:59.953922Z,2015,5,7,8,30,0,404.35
2015-05-07T09:30:00.103676Z,2015,5,7,9,30,0,402.809
2015-05-07T10:29:59.938082Z,2015,5,7,10,30,0,401.93
2015-05-07T11:30:00.087837Z,2015,5,7,11,30,0,402.271
2015-05-07T12:29:59.922242Z,2015,5,7,12,30,0,402.146
2015-05-07T13:30:00.071997Z,2015,5,7,13,30,0,401.609
2015-05-07T14:29:59.906403Z,2015,5,7,14,30,0,401.229
2015-05-07T15:30:00.056158Z,2015,5,7,15,30,0,400.906
2015-05-07T16:29:59.890563Z,2015,5,7,16,30,0,401.41
2015-05-07T17:30:00.040318Z,2015,5,7,17,30,0,403.082
