Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2014,01,01,00,00,00,1021.16238
2014,01,01,01,00,00,1100.61354
2014,01,01,02,00,00,896.69884
2014,01,01,03,00,00,799.09471
2014,01,01,04,00,00,872.4808
2014,01,01,05,00,00,928.56762
2014,01,01,06,00,00,904.50851
2014,01,01,07,00,00,910.61628
2014,01,01,08,00,00,874.12851
2014,01,01,09,00,00,879.90207
2014,01,01,10,00,00,776.18256
2014,01,01,11,00,00,778.71241
2014,01,01,12,00,00,782.06557
2014,01,01,13,00,00,1012.93913
2014,01,01,14,00,00,862.43206
2014,01,01,15,00,00,835.65449
2014,01,01,16,00,00,695.64748
2014,01,01,17,00,00,817.05555
2014,01,01,18,00,00,946.77831
2014,01,01,19,00,00,981.93778
2014,01,01,20,00,00,773.30422
2014,01,01,21,00,00,699.91957
2014,01,01,22,00,00,728.04037
2014,01,01,23,00,00,623.2274
2014,01,02,00,00,00,527.80258
2014,01,02,01,00,00,465.97242
2014,01,02,02,00,00,373.16582
2014,01,02,03,00,00,418.84804
2014,01,02,04,00,00,766.10916
2014,01,02,05,00,00,1103.4975
2014,01,02,06,00,00,445.20417
2014,01,02,07,00,00,362.09183
2014,01,02,08,00,00,305.61573
2014,01,02,09,00,00,318.43138
2014,01,02,10,10,00,299.69624
2014,01,02,11,00,00,311.5259
2014,01,02,12,00,00,302.19432
2014,01,02,13,00,00,352.36193
2014,01,02,14,00,00,410.58543
2014,01,02,15,00,00,404.43735
2014,01,02,16,00,00,620.90788
2014,01,02,17,00,00,541.11091
2014,01,02,18,00,00,385.91678
2014,01,02,19,00,00,423.27779
2014,01,02,20,00,00,389.79778
2014,01,02,21,00,00,436.01876
2014,01,02,22,00,00,392.4108
2014,01,02,23,00,00,480.84473
2014,01,03,00,00,00,447.16139
2014,01,03,01,00,00,436.71647
2014,01,03,02,00,00,398.59471
2014,01,03,03,00,00,404.60271
2014,01,03,04,00,00,380.68597
2014,01,03,05,00,00,344.82884
2014,01,03,06,00,00,313.00115
2014,01,03,07,00,00,331.78292
2014,01,03,08,00,00,1479.53022
2014,01,03,09,00,00,4119.26632
2014,01,03,10,00,00,1092.35303
2014,01,03,11,00,00,613.08978
2014,01,03,12,00,00,564.6689
2014,01,03,13,10,00,635.83456
2014,01,03,14,00,00,719.75749
2014,01,03,15,00,00,762.38494
2014,01,03,16,11,00,993.28116
2014,01,03,17,00,00,1057.17137
2014,01,03,18,00,00,698.21876
2014,01,03,19,00,00,614.12413
2014,01,03,20,00,00,494.18933
