Stdev,TIMESTAMP,co2
-9.99,2016-12-13 00:00:00,
-9.99,2016-12-13 01:00:00,
-9.99,2016-12-13 02:00:00,
-9.99,2016-12-13 03:00:00,
0.011,2016-12-13 04:00:00,411.702
0.185,2016-12-13 05:00:00,411.8
2.023,2016-12-13 06:00:00,414.534
0.222,2016-12-13 07:00:00,416.558
0.338,2016-12-13 08:00:00,416.367
0.401,2016-12-13 09:00:00,417.059
0.347,2016-12-13 10:00:00,415.573
0.592,2016-12-13 11:00:00,414.445
0.306,2016-12-13 12:00:00,412.519
0.348,2016-12-13 13:00:00,412.701
0.099,2016-12-13 14:00:00,413.747
0.105,2016-12-13 15:00:00,413.655
0.277,2016-12-13 16:00:00,413.872
0.035,2016-12-13 17:00:00,414.101
0.033,2016-12-13 18:00:00,413.915
0.034,2016-12-13 19:00:00,413.972
0.052,2016-12-13 20:00:00,414.151
0.077,2016-12-13 21:00:00,414.367
0.07,2016-12-13 22:00:00,415.135
0.15,2016-12-13 23:00:00,415.042
0.203,2016-12-14 00:00:00,415.451
0.082,2016-12-14 01:00:00,415.641
0.047,2016-12-14 02:00:00,415.771
0.167,2016-12-14 03:00:00,415.397
0.065,2016-12-14 04:00:00,414.865
0.057,2016-12-14 05:00:00,414.685
0.02,2016-12-14 06:00:00,414.414
0.007,2016-12-14 07:00:00,414.424
0.245,2016-12-14 08:00:00,414.196
0.372,2016-12-14 09:00:00,413.191
0.235,2016-12-14 10:00:00,412.117
0.053,2016-12-14 11:00:00,411.707
0.022,2016-12-14 12:00:00,411.662
0.094,2016-12-14 13:00:00,411.793
0.061,2016-12-14 14:00:00,412.042
0.054,2016-12-14 15:00:00,411.914
0.1,2016-12-14 16:00:00,411.811
0.096,2016-12-14 17:00:00,411.441
0.06,2016-12-14 18:00:00,411.318
0.09,2016-12-14 19:00:00,411.494
0.032,2016-12-14 20:00:00,411.623
0.042,2016-12-14 21:00:00,411.499
0.021,2016-12-14 22:00:00,411.559
0.024,2016-12-14 23:00:00,411.56
0.039,2016-12-15 00:00:00,411.692
0.025,2016-12-15 01:00:00,411.744
0.057,2016-12-15 02:00:00,411.89
0.043,2016-12-15 03:00:00,412.025
0.096,2016-12-15 04:00:00,412.325
0.081,2016-12-15 05:00:00,412.657
0.036,2016-12-15 06:00:00,413.199
0.072,2016-12-15 07:00:00,413.022
0.102,2016-12-15 08:00:00,412.684
0.144,2016-12-15 09:00:00,412.307
0.54,2016-12-15 10:00:00,412.844
0.211,2016-12-15 11:00:00,413.401
0.102,2016-12-15 12:00:00,412.632
0.03,2016-12-15 13:00:00,412.671
0.031,2016-12-15 14:00:00,412.75
0.072,2016-12-15 15:00:00,412.649
0.036,2016-12-15 16:00:00,412.558
0.21,2016-12-15 17:00:00,412.151
0.051,2016-12-15 18:00:00,411.731
0.032,2016-12-15 19:00:00,411.712
0.033,2016-12-15 20:00:00,411.877
0.066,2016-12-15 21:00:00,411.96
0.012,2016-12-15 22:00:00,412.446
0.078,2016-12-15 23:00:00,412.637
0.103,2016-12-16 00:00:00,412.95
0.054,2016-12-16 01:00:00,413.298
0.096,2016-12-16 02:00:00,413.495
0.073,2016-12-16 03:00:00,413.523
0.04,2016-12-16 04:00:00,413.615
0.044,2016-12-16 05:00:00,413.459
0.01,2016-12-16 06:00:00,413.174
0.033,2016-12-16 07:00:00,413.172
0.059,2016-12-16 08:00:00,412.984
0.044,2016-12-16 09:00:00,413.095
0.09,2016-12-16 10:00:00,413.385
0.128,2016-12-16 11:00:00,413.345
0.054,2016-12-16 12:00:00,413.288
0.052,2016-12-16 13:00:00,413.442
0.024,2016-12-16 14:00:00,413.308
0.813,2016-12-16 15:00:00,412.401
0.135,2016-12-16 16:00:00,410.891
0.071,2016-12-16 17:00:00,411.003
0.24,2016-12-16 18:00:00,411.005
0.378,2016-12-16 19:00:00,410.596
0.366,2016-12-16 20:00:00,411.152
0.243,2016-12-16 21:00:00,412.286
0.132,2016-12-16 22:00:00,413.124
0.249,2016-12-16 23:00:00,413.843
0.187,2016-12-17 00:00:00,414.677
0.277,2016-12-17 01:00:00,415.33
0.076,2016-12-17 02:00:00,416.071
0.079,2016-12-17 03:00:00,416.141
0.26,2016-12-17 04:00:00,416.235
0.295,2016-12-17 05:00:00,418.077
0.066,2016-12-17 06:00:00,419.164
0.146,2016-12-17 07:00:00,419.576
0.238,2016-12-17 08:00:00,419.198
0.244,2016-12-17 09:00:00,418.254
0.227,2016-12-17 10:00:00,417.373
0.068,2016-12-17 11:00:00,416.969
0.166,2016-12-17 12:00:00,417.276
0.368,2016-12-17 13:00:00,416.093
0.056,2016-12-17 14:00:00,415.376
0.35,2016-12-17 15:00:00,414.745
0.207,2016-12-17 16:00:00,414.069
0.054,2016-12-17 17:00:00,413.472
0.073,2016-12-17 18:00:00,413.615
0.039,2016-12-17 19:00:00,413.672
0.098,2016-12-17 20:00:00,413.777
0.031,2016-12-17 21:00:00,414.021
0.013,2016-12-17 22:00:00,414.251
0.044,2016-12-17 23:00:00,414.33
