"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]"
"Kokkola Santahaka","2008","1","1","02:00","-1","-"
"Kokkola Santahaka","2008","1","2","02:00","-1","-"
"Kokkola Santahaka","2008","1","3","02:00","-1","-"
"Kokkola Santahaka","2008","1","4","02:00","-1","-"
"Kokkola Santahaka","2008","1","5","02:00","-1","-"
"Kokkola Santahaka","2008","1","6","02:00","0.3","-"
"Kokkola Santahaka","2008","1","7","02:00","1.6","-"
"Kokkola Santahaka","2008","1","8","02:00","-1","-"
"Kokkola Santahaka","2008","1","9","02:00","1.6","-"
"Kokkola Santahaka","2008","1","10","02:00","1.6","-"
"Kokkola Santahaka","2008","1","12","02:00","11","-"
"Kokkola Santahaka","2008","1","13","02:00","1.9","-"
"Kokkola Santahaka","2008","1","14","02:00","1","-"
"Kokkola Santahaka","2008","1","15","02:00","0.2","-"
"Kokkola Santahaka","2008","1","16","02:00","5.4","-"
"Kokkola Santahaka","2008","1","17","02:00","4","-"
"Kokkola Santahaka","2008","1","18","02:00","3","-"
"Kokkola Santahaka","2008","1","19","02:00","6.8","-"
"Kokkola Santahaka","2008","1","20","02:00","6.1","-"
"Kokkola Santahaka","2008","1","21","02:00","1.3","-"
"Kokkola Santahaka","2008","1","22","02:00","0.4","-"
"Kokkola Santahaka","2008","1","23","02:00","-1","-"
"Kokkola Santahaka","2008","1","24","02:00","8.7","-"
"Kokkola Santahaka","2008","1","25","02:00","-1","-"
"Kokkola Santahaka","2008","1","26","02:00","-1","-"
"Kokkola Santahaka","2008","1","27","02:00","-1","-"
"Kokkola Santahaka","2008","1","28","02:00","0.2","-"
"Kokkola Santahaka","2008","1","29","02:00","1.3","-"
"Kokkola Santahaka","2008","1","30","02:00","-1","-"
"Kokkola Santahaka","2008","1","31","02:00","-1","-"
"Kokkola Santahaka","2008","2","1","02:00","0.8","-"
"Kokkola Santahaka","2008","2","2","02:00","2.9","-"
"Kokkola Santahaka","2008","2","3","02:00","1.9","-"
"Kokkola Santahaka","2008","2","4","02:00","-1","-"
"Kokkola Santahaka","2008","2","5","02:00","-1","-"
"Kokkola Santahaka","2008","2","6","02:00","0.5","-"
"Kokkola Santahaka","2008","2","7","02:00","0.8","-"
"Kokkola Santahaka","2008","2","8","02:00","-1","-"
"Kokkola Santahaka","2008","2","9","02:00","-1","-"
"Kokkola Santahaka","2008","2","10","02:00","0.7","-"
"Kokkola Santahaka","2008","2","11","02:00","-1","-"
"Kokkola Santahaka","2008","2","12","02:00","0.2","-"
"Kokkola Santahaka","2008","2","13","02:00","-1","-"
"Kokkola Santahaka","2008","2","14","02:00","0.3","-"
"Kokkola Santahaka","2008","2","15","02:00","-1","-"
"Kokkola Santahaka","2008","2","16","02:00","5.8","-"
"Kokkola Santahaka","2008","2","17","02:00","-1","-"
"Kokkola Santahaka","2008","2","18","02:00","-1","-"
"Kokkola Santahaka","2008","2","19","02:00","0.7","-"
"Kokkola Santahaka","2008","2","21","02:00","3.5","-"
"Kokkola Santahaka","2008","2","22","02:00","3.4","-"
"Kokkola Santahaka","2008","2","23","02:00","0.2","-"
"Kokkola Santahaka","2008","2","24","02:00","2.2","-"
"Kokkola Santahaka","2008","2","25","02:00","0.2","-"
"Kokkola Santahaka","2008","2","26","02:00","0.7","-"
"Kokkola Santahaka","2008","2","27","02:00","3.1","-"
"Kokkola Santahaka","2008","2","28","02:00","0.4","-"
"Kokkola Santahaka","2008","2","29","02:00","1.1","-"
