Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Lämpötilan keskiarvo [°C],Keskituulen nopeus [m/s]
Kokkola Tankar,1996,9,1,00:00,16.7,4.8
Kokkola Tankar,1996,9,1,01:00,16.6,5.2
Kokkola Tankar,1996,9,1,02:00,16.3,5.7
Kokkola Tankar,1996,9,1,03:00,15.9,5.6
Kokkola Tankar,1996,9,1,04:00,15.9,7.2
Kokkola Tankar,1996,9,1,05:00,15.5,6.5
Kokkola Tankar,1996,9,1,06:00,15.2,6.0
Kokkola Tankar,1996,9,1,07:00,15.4,6.3
Kokkola Tankar,1996,9,1,08:00,15.9,7.2
Kokkola Tankar,1996,9,1,09:00,16.2,7.0
Kokkola Tankar,1996,9,1,10:00,16.3,6.2
Kokkola Tankar,1996,9,1,11:00,16.8,6.6
Kokkola Tankar,1996,9,1,12:00,17.2,8.6
Kokkola Tankar,1996,9,1,13:00,16.9,9.4
Kokkola Tankar,1996,9,1,14:00,16.5,9.3
Kokkola Tankar,1996,9,1,15:00,16.7,7.9
Kokkola Tankar,1996,9,1,16:00,17.0,6.4
Kokkola Tankar,1996,9,1,17:00,17.1,5.8
Kokkola Tankar,1996,9,1,18:00,17.2,5.8
Kokkola Tankar,1996,9,1,19:00,17.0,5.9
Kokkola Tankar,1996,9,1,20:00,16.7,4.3
Kokkola Tankar,1996,9,1,21:00,16.2,3.5
Kokkola Tankar,1996,9,1,22:00,15.8,2.9
Kokkola Tankar,1996,9,1,23:00,15.7,3.3
Kokkola Tankar,1996,9,2,00:00,15.9,3.9
Kokkola Tankar,1996,9,2,01:00,15.8,4.3
Kokkola Tankar,1996,9,2,02:00,15.6,3.9
Kokkola Tankar,1996,9,2,03:00,15.1,3.1
Kokkola Tankar,1996,9,2,04:00,14.0,3.8
Kokkola Tankar,1996,9,2,05:00,13.8,4.1
Kokkola Tankar,1996,9,2,06:00,13.4,4.5
Kokkola Tankar,1996,9,2,07:00,13.5,4.6
Kokkola Tankar,1996,9,2,08:00,13.5,4.6
Kokkola Tankar,1996,9,2,09:00,13.8,4.2
Kokkola Tankar,1996,9,2,10:00,15.7,4.5
Kokkola Tankar,1996,9,2,11:00,15.5,4.7
Kokkola Tankar,1996,9,2,12:00,16.2,4.9
Kokkola Tankar,1996,9,2,13:00,16.9,7.5
Kokkola Tankar,1996,9,2,14:00,16.5,7.1
Kokkola Tankar,1996,9,2,15:00,17.1,7.7
Kokkola Tankar,1996,9,2,16:00,17.5,8.1
Kokkola Tankar,1996,9,2,17:00,17.7,7.8
Kokkola Tankar,1996,9,2,18:00,17.6,8.7
Kokkola Tankar,1996,9,2,19:00,17.3,8.8
Kokkola Tankar,1996,9,2,20:00,17.1,8.2
Kokkola Tankar,1996,9,2,21:00,16.8,9.4
Kokkola Tankar,1996,9,2,22:00,16.6,9.3
Kokkola Tankar,1996,9,2,23:00,16.4,9.6
Kokkola Tankar,1996,9,3,00:00,16.2,9.1
Kokkola Tankar,1996,9,3,01:00,16.2,8.0
Kokkola Tankar,1996,9,3,02:00,15.6,6.2
Kokkola Tankar,1996,9,3,03:00,15.8,6.8
Kokkola Tankar,1996,9,3,04:00,16.1,7.6
Kokkola Tankar,1996,9,3,05:00,16.3,6.8
Kokkola Tankar,1996,9,3,06:00,16.5,7.6
Kokkola Tankar,1996,9,3,07:00,16.2,7.6
Kokkola Tankar,1996,9,3,08:00,15.9,8.9
Kokkola Tankar,1996,9,3,09:00,15.7,10.0
Kokkola Tankar,1996,9,3,10:00,14.1,8.8
Kokkola Tankar,1996,9,3,11:00,14.0,5.8
Kokkola Tankar,1996,9,3,12:00,15.0,7.5
Kokkola Tankar,1996,9,3,13:00,15.5,7.9
Kokkola Tankar,1996,9,3,14:00,16.0,8.4
Kokkola Tankar,1996,9,3,15:00,16.5,8.3
Kokkola Tankar,1996,9,3,16:00,16.7,7.6
Kokkola Tankar,1996,9,3,17:00,16.5,8.6
