"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","1","02:00","0.3","19"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","2","02:00","-1","19"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","3","02:00","2","19"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","4","02:00","-1","21"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","5","02:00","0.1","21"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","6","02:00","-1","21"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","7","02:00","6.1","21"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","8","02:00","1.7","30"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","9","02:00","0","27"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","10","02:00","0.8","19"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","11","02:00","-1","5"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","12","02:00","-1","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","13","02:00","0.6","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","14","02:00","-1","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","15","02:00","0.3","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","16","02:00","1.3","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","17","02:00","0.7","7"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","18","02:00","2","8"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","19","02:00","1.7","8"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","20","02:00","1.6","7"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","21","02:00","2.8","5"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","22","02:00","-1","2"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","23","02:00","8.1","2"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","24","02:00","1.4","11"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","25","02:00","3.5","5"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","26","02:00","10.4","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","27","02:00","3.5","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","28","02:00","-1","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","29","02:00","0.2","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","30","02:00","-1","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","1","31","02:00","13.1","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","1","02:00","5.4","29"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","2","02:00","1.1","50"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","3","02:00","1.2","51"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","4","02:00","0.6","51"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","5","02:00","3","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","6","02:00","-1","41"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","7","02:00","-1","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","8","02:00","-1","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","9","02:00","0.3","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","10","02:00","-1","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","11","02:00","0.2","40"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","12","02:00","0.8","38"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","13","02:00","0.9","37"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","14","02:00","0.2","30"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","15","02:00","0.1","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","16","02:00","0","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","17","02:00","0","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","18","02:00","0.1","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","19","02:00","0.4","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","20","02:00","0.4","26"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","21","02:00","-1","27"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","22","02:00","0.1","27"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","23","02:00","1.4","27"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","24","02:00","2.2","30"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","25","02:00","0.3","30"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","26","02:00","0","30"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","27","02:00","-1","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","2","28","02:00","-1","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","1","02:00","-1","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","2","02:00","-1","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","3","02:00","-1","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","4","02:00","0.4","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","5","02:00","0.6","35"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","6","02:00","5.1","36"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","7","02:00","1.3","42"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","8","02:00","4.8","42"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","9","02:00","0.5","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","10","02:00","-1","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","11","02:00","-1","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","12","02:00","0","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","13","02:00","1.9","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","14","02:00","0.6","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","15","02:00","0","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","16","02:00","1.2","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","17","02:00","0.8","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","18","02:00","2.2","47"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","19","02:00","1","47"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","20","02:00","0.4","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","21","02:00","2","48"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","22","02:00","1.4","49"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","23","02:00","-1","53"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","24","02:00","3.4","53"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","25","02:00","5.6","56"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","26","02:00","2","61"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","27","02:00","1.8","67"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","28","02:00","0.1","68"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","29","02:00","-1","68"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","30","02:00","-1","64"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","3","31","02:00","-1","62"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","1","02:00","0.1","58"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","2","02:00","0","58"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","3","02:00","0.8","53"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","4","02:00","-1","53"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","5","02:00","-1","51"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","6","02:00","-1","49"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","7","02:00","2.4","47"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","8","02:00","3.5","41"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","9","02:00","0","36"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","10","02:00","-1","32"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","11","02:00","0.4","28"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","12","02:00","-1","22"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","13","02:00","-1","18"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","14","02:00","-1","15"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","15","02:00","-1","10"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","16","02:00","0","8"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","17","02:00","3.4","5"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","18","02:00","2","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","19","02:00","-1","1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","20","02:00","3.5","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","21","02:00","0","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","22","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","23","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","24","02:00","0.1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","25","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","26","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","27","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","28","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","29","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","4","30","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","1","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","2","02:00","3.7","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","3","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","4","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","5","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","6","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","7","02:00","-1","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","8","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","9","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","10","02:00","0.3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","11","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","12","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","13","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","14","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","15","02:00","2.2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","16","02:00","1.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","17","02:00","0.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","18","02:00","3.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","19","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","20","02:00","7.4","-1"
