Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2020,1,1,00:00,UTC,-2.2,0.5,-2.1,220.4,,,,0,0
2020,1,1,01:00,UTC,-2.1,0.3,-2,225.3,,,,0,0
2020,1,1,02:00,UTC,-2,0.7,-1.9,230,,,,0,0
2020,1,1,03:00,UTC,-1.8,0.4,-1.8,239.8,,,,0,0
2020,1,1,04:00,UTC,-2.2,-0.4,-2,254.9,,,,0,0
2020,1,1,05:00,UTC,-1.4,1,-1.4,240.8,,,,0,0
2020,1,1,06:00,UTC,-1.7,-0.3,-1.5,266.7,,,,0,0
2020,1,1,07:00,UTC,0,1,0.3,313.9,,,,0,0
2020,1,1,08:00,UTC,11.3,0.5,11.5,283.3,,,,0,0.1
2020,1,1,09:00,UTC,23.4,0.4,23.6,317.3,,,,0,0.1
2020,1,1,10:00,UTC,24.7,-0.2,25.1,308.8,,,,0,0.1
2020,1,1,11:00,UTC,57.3,4.6,58.5,266.9,,,,0,0.1
2020,1,1,12:00,UTC,27.8,0.9,28.1,300.1,,,,0,0.1
2020,1,1,13:00,UTC,11.3,0.6,11.4,294.8,,,,0,0
2020,1,1,14:00,UTC,-1.1,0,-0.9,290.1,,,,0,0
2020,1,1,15:00,UTC,-1,0.1,-0.9,307,,,,0,0
2020,1,1,16:00,UTC,-1.6,-0.1,-1.5,279.9,,,,0,0
2020,1,1,17:00,UTC,-1.7,0.1,-1.7,250.3,,,,0,0
2020,1,1,18:00,UTC,-1.2,0.4,-1,260.8,,,,0,0
2020,1,1,19:00,UTC,-1.9,-0.1,-1.8,251.7,,,,0,0
2020,1,1,20:00,UTC,-1.9,0.2,-1.7,264.2,,,,0,0
2020,1,1,21:00,UTC,-1.6,0,-1.6,257.5,,,,0,0
2020,1,1,22:00,UTC,-2.1,0,-2,257.1,,,,0,0
2020,1,1,23:00,UTC,-1.8,-0.2,-1.6,268.4,,,,0,0
2020,1,2,00:00,UTC,-2,-0.6,-1.7,269.9,,,,0,0
2020,1,2,01:00,UTC,-1.4,0.2,-1.2,271.9,,,,0,0
2020,1,2,02:00,UTC,-2,0.1,-1.7,263.4,,,,0,0
2020,1,2,03:00,UTC,-2,-0.3,-2,256.5,,,,0,0
2020,1,2,04:00,UTC,-2,-0.3,-1.9,253.7,,,,0,0
2020,1,2,05:00,UTC,-1.7,0.4,-1.7,255.7,,,,0,0
2020,1,2,06:00,UTC,-2,-0.2,-1.9,264,,,,0,0
2020,1,2,07:00,UTC,-1.4,0.1,-1.2,267.9,,,,0,0
2020,1,2,08:00,UTC,11.3,7.6,11.9,290.4,,,,0,0.1
2020,1,2,09:00,UTC,49.2,91.3,58.6,269.6,,,,0,0.1
2020,1,2,10:00,UTC,58.2,232.8,88.4,258.2,,,,60,0.1
2020,1,2,11:00,UTC,50,7.7,51.3,266.1,,,,0,0.1
2020,1,2,12:00,UTC,34.7,16.6,36.8,266.3,,,,0,0.1
2020,1,2,13:00,UTC,8.4,1,8.7,310.8,,,,0,0
2020,1,2,14:00,UTC,-1.7,-0.3,-1.5,286.9,,,,0,0
2020,1,2,15:00,UTC,-1.1,0.3,-1,291.2,,,,0,0
2020,1,2,16:00,UTC,-0.9,0.2,-0.8,317.6,,,,0,0
2020,1,2,17:00,UTC,-2,-0.4,-1.9,264,,,,0,0
2020,1,2,18:00,UTC,-1.2,0.4,-1,277.3,,,,0,0
2020,1,2,19:00,UTC,-1.2,0.1,-1.1,321.3,,,,0,0
2020,1,2,20:00,UTC,-1.1,0.1,-1.1,329,,,,0,0
2020,1,2,21:00,UTC,-1.5,-0.4,-1.5,291.2,,,,0,0
2020,1,2,22:00,UTC,-1.5,-0.4,-1.2,327.1,,,,0,0
2020,1,2,23:00,UTC,-0.8,0.2,-0.6,330,,,,0,0
2020,1,3,00:00,UTC,-1.1,0,-1,330,,,,0,0
2020,1,3,01:00,UTC,-0.5,0.2,-0.3,329.1,,,,0,0
2020,1,3,02:00,UTC,-1.1,-0.1,-0.9,328.2,,,,0,0
2020,1,3,03:00,UTC,-0.6,0.3,-0.6,327.7,,,,0,0
2020,1,3,04:00,UTC,-0.7,0.2,-0.6,327.4,,,,0,0
2020,1,3,05:00,UTC,-0.9,0,-0.8,327.7,,,,0,0
2020,1,3,06:00,UTC,-0.6,0.1,-0.6,327.8,,,,0,0
2020,1,3,07:00,UTC,-0.4,0.2,-0.4,326.7,,,,0,0
2020,1,3,08:00,UTC,2.3,-0.1,2.4,326.8,,,,0,0
2020,1,3,09:00,UTC,4.6,-0.4,4.6,326.2,,,,0,0
2020,1,3,10:00,UTC,11.4,-0.7,11.4,327,,,,0,0.1
2020,1,3,11:00,UTC,13.5,-0.3,13.3,328.1,,,,0,0.1
2020,1,3,12:00,UTC,2.9,0,2.9,328.5,,,,0,0
2020,1,3,13:00,UTC,0.2,0,0.1,331.5,,,,0,0
2020,1,3,14:00,UTC,-1.1,0.4,-1.2,334.3,,,,0,0
2020,1,3,15:00,UTC,-1,0.5,-1.3,336.1,,,,0,0
2020,1,3,16:00,UTC,-1.3,0.5,-1.4,333.8,,,,0,0
