Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,1,1,00:00,UTC,0,1011.5,0,90,0,0,-1.7,-3.1,22520,242,5.7,3.7
2020,1,1,01:00,UTC,0,1011.3,0,89,0,0,-1.1,-2.7,41970,249,6.5,4.9
2020,1,1,02:00,UTC,0,1010.9,0,86,0,0,-0.5,-2.5,50000,263,8.6,5.7
2020,1,1,03:00,UTC,1,1010.7,0,85,0,0,-0.2,-2.4,50000,260,8.7,5.4
2020,1,1,04:00,UTC,1,1010.1,0,85,0,0,-0.1,-2.2,50000,241,6.6,4.8
2020,1,1,05:00,UTC,1,1009.8,0,86,0,0,-0.1,-2.1,50000,232,8.2,5.6
2020,1,1,06:00,UTC,5,1009.6,0,83,0,0,0.7,-2,50000,244,8.9,5.8
2020,1,1,07:00,UTC,7,1009.5,0,79,0,0,1.4,-1.9,50000,242,7.3,5
2020,1,1,08:00,UTC,7,1009.4,0,78,0,0,1.8,-1.6,50000,237,6.9,4
2020,1,1,09:00,UTC,7,1009.2,0,77,0,0,2.4,-1.2,50000,231,7.4,5.1
2020,1,1,10:00,UTC,7,1008.5,0,78,0,0,2.5,-0.9,50000,236,6.2,3.6
2020,1,1,11:00,UTC,7,1007.6,0,81,0,0,2.7,-0.3,50000,213,7.7,5.6
2020,1,1,12:00,UTC,7,1007.6,0,80,0,0,3.2,0.1,50000,232,8.7,5.6
2020,1,1,13:00,UTC,7,1007.2,0,77,0,0,3.1,-0.5,50000,246,9.1,6.1
2020,1,1,14:00,UTC,5,1006.8,0,79,0,0,2.8,-0.5,50000,243,10.4,7.2
2020,1,1,15:00,UTC,7,1006.8,0,79,0,0,2.8,-0.4,50000,250,10.3,7.3
2020,1,1,16:00,UTC,7,1006.8,0,79,0,0,2.6,-0.6,50000,251,10.4,6.6
2020,1,1,17:00,UTC,0,1006.9,0,81,0,0,2.2,-0.8,50000,244,9.2,7
2020,1,1,18:00,UTC,1,1006.3,0,82,0,0,2,-0.7,50000,244,11.2,7.4
2020,1,1,19:00,UTC,0,1006.4,0,82,0,0,2.2,-0.6,50000,248,11.7,7.6
2020,1,1,20:00,UTC,0,1005.6,0,82,0,0,2.1,-0.6,50000,246,8.1,5.8
2020,1,1,21:00,UTC,7,1005,0,82,0,0,2.5,-0.3,50000,239,9.9,6.3
2020,1,1,22:00,UTC,3,1004.6,0,81,0,0,2.3,-0.6,50000,250,9.8,5.5
2020,1,1,23:00,UTC,1,1003.9,0,81,0,0,2.3,-0.6,50000,244,9.1,6.4
2020,1,2,00:00,UTC,7,1004.4,0,84,0,0,2.1,-0.4,50000,247,8.8,6
2020,1,2,01:00,UTC,1,1003.8,0,84,0,0,2.1,-0.4,50000,245,8,5.8
2020,1,2,02:00,UTC,1,1003.8,0,83,0,0,2.1,-0.5,50000,245,8.5,6.2
2020,1,2,03:00,UTC,0,1004.1,0,81,0,0,2.3,-0.6,50000,245,8.9,6.5
2020,1,2,04:00,UTC,0,1003.9,0,79,0,0,2.4,-0.8,50000,245,9.9,6.9
2020,1,2,05:00,UTC,0,1004.3,0,79,0,0,2.6,-0.6,50000,246,8.8,6.6
2020,1,2,06:00,UTC,1,1004.3,0,79,0,0,2.7,-0.6,44720,246,8.6,6.6
2020,1,2,07:00,UTC,3,1004.4,0,79,0,0,3,-0.4,39220,246,9.3,6.5
2020,1,2,08:00,UTC,3,1004.7,0,79,0,0,3.1,-0.2,37280,248,8.3,5.9
2020,1,2,09:00,UTC,0,1004.8,0,79,0,0,3.5,0.1,32380,235,7.8,4.9
2020,1,2,10:00,UTC,1,1004.9,0,81,0,0,3.7,0.7,29700,234,6.3,3.4
2020,1,2,11:00,UTC,0,1003.9,0,86,0,0,3.7,1.6,23140,215,7.8,5.6
2020,1,2,12:00,UTC,0,1003.7,0,90,0,0,4.1,2.5,21460,214,9.1,6.6
2020,1,2,13:00,UTC,7,1004,0,90,0,0,4.3,2.8,17160,218,7.1,4.8
2020,1,2,14:00,UTC,3,1002.8,0,92,0,0,4,2.7,12630,215,10.5,6.5
2020,1,2,15:00,UTC,5,1002.8,0,91,0,0,4.5,3.2,11930,221,11.8,7.5
2020,1,2,16:00,UTC,7,1002.7,0,90,0,0,4.9,3.4,11110,222,13.9,8.3
2020,1,2,17:00,UTC,1,1002.8,0,91,0,0,4.6,3.2,10670,226,11.8,7.8
2020,1,2,18:00,UTC,5,1002.5,0,91,0,0,4.6,3.2,9730,219,12,7.9
2020,1,2,19:00,UTC,7,1002.4,0,89,0,0,5,3.4,9630,223,12.2,7.3
2020,1,2,20:00,UTC,8,1002.4,0,89,0,0,5.2,3.5,11700,223,12.7,7.1
2020,1,2,21:00,UTC,7,1001.6,0,89,0,0,4.9,3.2,14590,223,13.8,8.8
2020,1,2,22:00,UTC,8,1001.4,0,86,0,0,5,2.9,17370,230,13.2,8.5
2020,1,2,23:00,UTC,8,1001.2,0,87,0,0,5,3,15350,226,13.5,9.2
2020,1,3,00:00,UTC,8,1001.1,0,86,0,0,5,2.9,14870,228,15.8,9.5
2020,1,3,01:00,UTC,8,1000.7,0,84,0,0,5,2.5,16500,229,13.4,8
2020,1,3,02:00,UTC,8,999.9,0,84,0,0,4.8,2.4,15260,225,14.2,8.7
2020,1,3,03:00,UTC,8,998.9,0,85,0,0,4.8,2.4,14990,224,16.5,10.6
2020,1,3,04:00,UTC,8,998.7,0,82,0,0,4.9,2.1,15700,228,15.3,9.1
2020,1,3,05:00,UTC,8,997.9,0,83,0,0,4.9,2.2,15120,226,16.7,9.2
2020,1,3,06:00,UTC,8,997.2,0,84,0,0,4.8,2.3,15620,218,18.3,10.2
2020,1,3,07:00,UTC,8,997.1,0,83,0,0,4.7,2.1,16270,223,18.9,11.3
2020,1,3,08:00,UTC,8,996.3,0,84,0,0,4.6,2.2,14230,216,20.5,11.4
2020,1,3,09:00,UTC,8,996.3,0,84,0,0,4.6,2.1,10890,227,19.7,11.1
2020,1,3,10:00,UTC,8,995.3,0,86,0,0,4.5,2.3,17710,223,18.8,11.2
2020,1,3,11:00,UTC,8,994.6,0.1,90,0.3,0,4.3,2.8,9230,219,17.9,12
2020,1,3,12:00,UTC,8,993.8,0,89,0,0,4.4,2.8,18480,222,16.3,10.2
2020,1,3,13:00,UTC,8,992.8,0.1,94,0.3,0,4.6,3.7,6440,217,19.9,12.3
2020,1,3,14:00,UTC,8,992.2,0.3,94,0.3,0,5,4.2,6690,217,17,11
2020,1,3,15:00,UTC,8,991.3,0.2,96,0,0,5.2,4.5,7320,218,15.3,8.9
2020,1,3,16:00,UTC,7,990.8,0.1,93,0,0,5.5,4.5,17200,221,14,8.6
2020,1,3,17:00,UTC,7,990.5,0.6,93,0.3,0,5.3,4.3,26400,235,9.9,5.8
2020,1,3,18:00,UTC,1,990.6,0,91,0,0,4.6,3.3,49690,240,10.3,6.5
2020,1,3,19:00,UTC,7,990.8,0,81,0,0,4.4,1.5,50000,244,11.4,7.9
2020,1,3,20:00,UTC,5,991.3,0,72,0,0,3.8,-0.7,50000,239,10.9,6.2
2020,1,3,21:00,UTC,0,992,0,61,0,0,3,-3.8,50000,246,13,7.7
2020,1,3,22:00,UTC,0,991.9,0,59,0,0,1.9,-5.3,50000,242,10.2,6.3
2020,1,3,23:00,UTC,0,991.6,0,58,0,0,1.1,-6.2,50000,225,8.6,5.4
2020,1,4,00:00,UTC,1,990.1,0,57,0,0,1,-6.5,50000,208,6.8,4.7
2020,1,4,01:00,UTC,0,989.4,0,68,0,0,2.8,-2.6,50000,222,11.7,7
2020,1,4,02:00,UTC,7,988.5,0,70,0,0,3,-1.9,44220,232,11.5,5.9
2020,1,4,03:00,UTC,1,987.6,0.3,80,0,0,2.3,-0.8,42210,225,8.2,5.6
2020,1,4,04:00,UTC,0,987,0,74,0,0,2.3,-1.8,43750,228,9.2,6
2020,1,4,05:00,UTC,3,986.6,0,72,0,0,2.3,-2.3,47790,219,9.4,6
2020,1,4,06:00,UTC,0,986,0,68,0,0,1.6,-3.7,50000,231,8,5.3
2020,1,4,07:00,UTC,0,985.8,0,67,0,0,1.2,-4.2,50000,229,8.3,5.9
2020,1,4,08:00,UTC,0,985.8,0,71,0,0,1,-3.6,50000,223,9.6,5.7
2020,1,4,09:00,UTC,0,985.6,0,67,0,0,1.4,-4,50000,225,11,7.2
2020,1,4,10:00,UTC,0,985.4,0,65,0,0,1.6,-4.3,50000,232,10.2,7.2
2020,1,4,11:00,UTC,0,985.3,0,66,0,0,1.9,-3.8,50000,242,10.8,7.1
2020,1,4,12:00,UTC,7,986,0,67,0,0,2.4,-3.1,50000,243,9.3,5.7
2020,1,4,13:00,UTC,5,986,0,69,0,0,2.7,-2.4,50000,245,12.3,7.8
2020,1,4,14:00,UTC,7,987.7,0,78,0,0,2.3,-1.2,36420,298,8.4,5.5
2020,1,4,15:00,UTC,7,988.6,0,73,0,0,2.4,-1.9,50000,271,12.2,7.1
2020,1,4,16:00,UTC,3,990.3,0,70,0,0,2,-2.9,50000,286,12,6.9
2020,1,4,17:00,UTC,3,992,0,66,0,0,2.1,-3.6,50000,288,10.4,5.8
2020,1,4,18:00,UTC,3,993.6,0,64,0,0,1.8,-4.2,50000,297,9.8,5.7
2020,1,4,19:00,UTC,3,995.1,0,63,0,0,1.6,-4.7,50000,301,12,6.3
2020,1,4,20:00,UTC,3,997.2,0,69,0,0,1.2,-3.8,50000,298,13.4,6.7
2020,1,4,21:00,UTC,1,999.1,0,71,0,0,0.7,-3.9,50000,305,9.5,4.8
2020,1,4,22:00,UTC,1,1000.8,0,69,0,0,0.1,-4.8,50000,295,10,6
2020,1,4,23:00,UTC,0,1002.1,0,65,0,0,-0.3,-6.1,50000,295,11.3,5.6
2020,1,5,00:00,UTC,0,1003.6,0,61,0,0,-0.5,-7.2,50000,300,10.1,6.3
2020,1,5,01:00,UTC,3,1004.9,0,63,0,0,-1,-7.1,50000,287,8.6,5.6
2020,1,5,02:00,UTC,7,1006.7,0,62,0,0,-0.6,-6.9,50000,298,9.3,5.7
2020,1,5,03:00,UTC,8,1008.1,0,61,0,0,0,-6.6,50000,313,11.6,6.1
2020,1,5,04:00,UTC,8,1009.7,0,63,0,0,0,-6.2,50000,314,10.1,5.9
2020,1,5,05:00,UTC,8,1011.6,0,64,0,0,-0.3,-6.4,50000,319,11.8,6.6
2020,1,5,06:00,UTC,7,1013.5,0,60,0,0,-0.5,-7.3,50000,325,14.1,7
2020,1,5,07:00,UTC,7,1015.4,0,63,0,0,-0.9,-6.9,50000,314,9.4,5.2
2020,1,5,08:00,UTC,0,1017.2,0,62,0,0,-1.8,-8.2,50000,317,10.3,5.7
2020,1,5,09:00,UTC,0,1017.9,0,59,0,0,-1.9,-8.9,49250,325,7.7,3.7
2020,1,5,10:00,UTC,0,1018.4,0,54,0,0,-2.1,-10.2,47500,325,9.4,5
2020,1,5,11:00,UTC,0,1019.3,0,52,0,0,-2.3,-10.9,50000,324,5,2.9
2020,1,5,12:00,UTC,0,1020.3,0,49,0,0,-2.3,-11.7,50000,297,5,3
2020,1,5,13:00,UTC,0,1021.5,0,54,0,0,-3.1,-11,50000,283,4.8,3
2020,1,5,14:00,UTC,0,1021.8,0,60,0,0,-4.2,-10.7,44990,280,4.5,2.7
2020,1,5,15:00,UTC,0,1021.6,0,64,0,0,-4.8,-10.7,29960,252,1.6,1.1
2020,1,5,16:00,UTC,0,1021.4,0,65,0,0,-4.5,-10,39210,185,2.4,1.8
2020,1,5,17:00,UTC,3,1021.5,0,69,0,0,-3.8,-8.6,41850,237,5,3.7
2020,1,5,18:00,UTC,7,1020.3,0,65,0,0,-3.2,-9,50000,191,4.2,2.8
2020,1,5,19:00,UTC,7,1019.1,0,58,0,0,-0.9,-8.1,50000,170,7.6,4.2
2020,1,5,20:00,UTC,7,1018.1,0,58,0,0,0.4,-7,50000,179,10.2,4.7
2020,1,5,21:00,UTC,7,1017,0,68,0,0,0.7,-4.6,40970,185,9.8,5.1
2020,1,5,22:00,UTC,7,1016.5,0.3,94,0.8,0,-0.3,-1.2,840,194,13.6,8.7
2020,1,5,23:00,UTC,8,1015,1.4,98,1.1,3,0.1,-0.2,1090,169,13.7,9
2020,1,6,00:00,UTC,8,1013.7,0.6,97,1,4,0.4,0,1960,176,15,9.1
2020,1,6,01:00,UTC,8,1012.7,0.4,97,0.2,5,0.6,0.2,4150,178,13.6,7.7
2020,1,6,02:00,UTC,7,1012,0.9,97,1.1,5,0.9,0.5,4500,195,11.9,7.6
2020,1,6,03:00,UTC,7,1011.7,0.9,98,0,5,1.5,1.3,5440,214,9.2,6.2
2020,1,6,04:00,UTC,7,1011.6,0.1,98,0,5,1.6,1.3,48480,256,5.7,4
2020,1,6,05:00,UTC,7,1012,0,98,0,5,1.3,1,37910,249,5.3,3.9
2020,1,6,06:00,UTC,7,1012.5,0,97,0,5,1.1,0.7,24910,255,7.1,3.7
2020,1,6,07:00,UTC,7,1013.1,0,96,0,4,1.2,0.6,14260,260,7.5,4.2
2020,1,6,08:00,UTC,7,1013.6,0,98,0,4,1.1,0.7,9660,256,7.1,3.8
2020,1,6,09:00,UTC,7,1013.8,0,98,0,4,1.2,0.9,8570,259,6.7,3.9
2020,1,6,10:00,UTC,7,1013.9,0,98,0,4,1.2,0.8,8630,249,7.4,4.2
2020,1,6,11:00,UTC,7,1014.1,0,98,0,3,1.2,0.9,9470,241,5,3
2020,1,6,12:00,UTC,7,1014.4,0,98,0,3,1.1,0.9,10820,242,6.4,4.1
2020,1,6,13:00,UTC,7,1014.4,0,99,0,3,1,0.9,6290,231,5.3,3.9
2020,1,6,14:00,UTC,7,1014.6,0,99,0,3,0.9,0.7,8380,250,4.6,2.9
2020,1,6,15:00,UTC,7,1014.8,0,100,0,2,0.7,0.7,2470,221,6.3,4.1
2020,1,6,16:00,UTC,9,1014.7,0,100,0,2,1,1,790,229,8,4.7
2020,1,6,17:00,UTC,9,1014.5,0,100,0,2,1.6,1.6,490,198,2.9,1.5
2020,1,6,18:00,UTC,7,1014.4,0,100,0,0,2.5,2.5,2820,236,8.2,4.6
2020,1,6,19:00,UTC,7,1014.5,0,100,0,0,2.8,2.8,3100,221,8.2,4.8
2020,1,6,20:00,UTC,7,1014.3,0.1,100,0,0,3.5,3.5,5340,218,8.9,5.8
2020,1,6,21:00,UTC,7,1014.2,0.2,99,0,0,3.6,3.5,4680,211,8,4.9
2020,1,6,22:00,UTC,7,1013.8,0.1,98,0,0,3.9,3.6,6560,209,10.5,6.5
2020,1,6,23:00,UTC,7,1013.5,0.2,99,0.5,0,4,3.9,2700,209,7.6,5.1
2020,1,7,00:00,UTC,7,1013.5,0.1,97,0,0,4,3.6,10090,221,7.7,4.8
2020,1,7,01:00,UTC,7,1013.3,0.1,98,0.3,0,4.1,3.8,7430,209,8.9,6.3
2020,1,7,02:00,UTC,7,1013,0.2,99,0.2,0,4,3.9,2580,207,9.1,5.8
2020,1,7,03:00,UTC,7,1012.9,0.2,99,0,0,4,3.9,2750,209,10.5,6.4
2020,1,7,04:00,UTC,7,1012.9,0.1,98,0,0,4,3.7,6040,212,9.3,6.3
2020,1,7,05:00,UTC,7,1012.5,0.1,99,0,0,4.1,4,2370,206,10.5,6.8
2020,1,7,06:00,UTC,7,1012.7,0.1,100,0,0,4.1,4.1,1820,208,11.9,7.8
2020,1,7,07:00,UTC,8,1012.8,0.2,100,0.3,0,4.4,4.4,2140,211,10.3,7.4
2020,1,7,08:00,UTC,8,1012.9,0.2,100,0.2,0,4.5,4.4,2590,210,7.8,5.4
2020,1,7,09:00,UTC,8,1013.1,0.1,100,0,0,4.7,4.7,12630,219,7.9,5.8
2020,1,7,10:00,UTC,8,1013.4,0,98,0,0,5.1,4.8,27760,221,8.7,5.3
2020,1,7,11:00,UTC,8,1013.6,0,95,0,0,5.4,4.6,50000,223,9.1,6.1
2020,1,7,12:00,UTC,8,1013.3,0,94,0,0,5.5,4.5,31450,216,9.8,6.2
2020,1,7,13:00,UTC,7,1013.4,0,92,0,0,5.2,4.1,46320,217,9.6,6.2
2020,1,7,14:00,UTC,7,1013.5,0,93,0,0,5,3.9,10690,217,11,7.3
2020,1,7,15:00,UTC,8,1013.7,0.2,93,0.4,0,4.6,3.5,7810,221,12.9,7.7
2020,1,7,16:00,UTC,8,1014,0.3,97,0.4,0,4.4,4,4560,229,10.3,5.7
2020,1,7,17:00,UTC,8,1013.8,0.6,95,0,0,4.3,3.6,10260,218,12.2,8.4
2020,1,7,18:00,UTC,8,1013.7,0.3,96,0.5,0,4.2,3.6,8400,223,11.9,6.9
2020,1,7,19:00,UTC,8,1012.9,0.1,96,0,0,4.5,4,6280,219,10.1,6.7
2020,1,7,20:00,UTC,7,1012.6,0.1,94,0,0,4.8,3.9,16630,216,14.4,8.7
2020,1,7,21:00,UTC,7,1012.1,0,92,0,0,4.8,3.6,13630,218,14.9,8.9
2020,1,7,22:00,UTC,8,1011.9,0,91,0,0,4.5,3.2,11610,213,12.4,7
2020,1,7,23:00,UTC,8,1011.2,0,90,0,0,4.3,2.8,14620,209,15.1,9.9
2020,1,8,00:00,UTC,8,1010.7,0,91,0,0,4.3,2.9,16350,209,16.2,10.2
2020,1,8,01:00,UTC,8,1009.8,0,91,0,0,4.5,3.2,19060,207,15.5,9.4
2020,1,8,02:00,UTC,8,1008.3,0,92,0,0,4.6,3.4,13070,206,17.9,10.7
2020,1,8,03:00,UTC,8,1007.6,0,90,0,0,4.7,3.2,17490,203,17.1,11.9
2020,1,8,04:00,UTC,8,1006,0,90,0,0,4.8,3.3,15560,197,18.5,10.4
2020,1,8,05:00,UTC,8,1004.8,0.5,95,0.7,0,4.7,3.9,7620,198,17.7,10.6
2020,1,8,06:00,UTC,8,1003.7,0,93,0,0,4.9,3.9,10820,200,17.2,11.5
2020,1,8,07:00,UTC,8,1002.2,0.1,92,0.4,0,4.9,3.7,8760,198,16.2,10.9
2020,1,8,08:00,UTC,8,1001.7,0.4,95,0.8,0,4.6,3.9,2580,206,19.9,12.7
2020,1,8,09:00,UTC,8,1000,1.5,96,0.5,0,4.7,4.2,8760,206,17,10.5
2020,1,8,10:00,UTC,8,999.4,0.3,96,0.5,0,5.1,4.6,5360,211,19.2,12.6
2020,1,8,11:00,UTC,8,998.6,0.2,97,0,0,5.3,4.8,4400,213,16.4,10.3
2020,1,8,12:00,UTC,8,997.9,0.1,96,0,0,5.6,5.1,8380,218,16,10.3
2020,1,8,13:00,UTC,8,997.2,0,95,0,0,5.9,5.2,4530,218,17.8,9.7
2020,1,8,14:00,UTC,8,996.9,0.3,95,0.5,0,6.1,5.4,4010,218,18,11.1
2020,1,8,15:00,UTC,8,996.6,0.1,93,0,0,6.4,5.4,10520,220,18.8,12.2
2020,1,8,16:00,UTC,8,996.6,0,93,0,0,6.5,5.5,14130,224,14.8,9.2
2020,1,8,17:00,UTC,8,996.6,0,92,0,0,6.8,5.5,18190,225,11,6.7
2020,1,8,18:00,UTC,7,996.5,0,87,0,0,7.1,5.1,23750,245,13.3,8.5
2020,1,8,19:00,UTC,8,997.3,0,84,0,0,6.9,4.4,34860,260,10.1,6.3
2020,1,8,20:00,UTC,3,998.2,0,87,0,0,5.5,3.6,48880,239,7.5,4.9
2020,1,8,21:00,UTC,1,999.4,0,91,0,0,4.8,3.5,42170,240,9.1,5.4
2020,1,8,22:00,UTC,0,999.8,0,89,0,0,4.3,2.6,50000,234,8.5,5.3
2020,1,8,23:00,UTC,0,1000.6,0,87,0,0,4,2,41310,241,8.9,5.6
2020,1,9,00:00,UTC,0,1001.4,0,88,0,0,3.2,1.4,37130,238,8.8,4.7
2020,1,9,01:00,UTC,0,1001.7,0,86,0,0,2.7,0.5,42630,241,8.5,5.8
2020,1,9,02:00,UTC,0,1001.8,0,86,0,0,2.3,0.2,37510,243,8.6,5.2
2020,1,9,03:00,UTC,0,1001.9,0,84,0,0,2.3,-0.2,31840,242,7.9,5.3
2020,1,9,04:00,UTC,0,1002.1,0,83,0,0,2.2,-0.3,33220,245,8.2,5.3
2020,1,9,05:00,UTC,0,1002.3,0,82,0,0,2.7,-0.1,29830,242,10.9,7.7
2020,1,9,06:00,UTC,0,1002.6,0,83,0,0,2.5,0,29030,242,10.4,7.1
2020,1,9,07:00,UTC,0,1003.5,0,83,0,0,2.2,-0.3,34120,249,9.3,6.4
2020,1,9,08:00,UTC,0,1004.5,0,80,0,0,2.7,-0.4,37030,249,11.3,7.4
2020,1,9,09:00,UTC,0,1004.7,0,78,0,0,3.1,-0.5,38170,253,9.9,6.8
2020,1,9,10:00,UTC,0,1005.4,0,73,0,0,3.6,-0.8,41990,261,11.6,6.8
2020,1,9,11:00,UTC,0,1005.8,0,73,0,0,3.5,-0.8,39290,242,9.1,6.1
2020,1,9,12:00,UTC,0,1006.4,0,72,0,0,3.6,-1,49970,243,9.9,6.5
2020,1,9,13:00,UTC,0,1007,0,73,0,0,3.2,-1.3,48320,237,7.9,5.2
2020,1,9,14:00,UTC,0,1007.5,0,74,0,0,2.7,-1.4,50000,241,7.9,5.6
2020,1,9,15:00,UTC,0,1008,0,78,0,0,2.1,-1.4,50000,239,8.5,5
2020,1,9,16:00,UTC,0,1008.2,0,81,0,0,1.5,-1.5,47830,248,7.3,5.1
2020,1,9,17:00,UTC,0,1008.3,0,85,0,0,0.6,-1.6,50000,249,6.6,4.4
2020,1,9,18:00,UTC,0,1008.7,0,86,0,0,0.5,-1.5,45520,251,6.6,4.8
2020,1,9,19:00,UTC,3,1008.8,0,90,0,0,-0.4,-1.9,45120,254,5.6,4.2
2020,1,9,20:00,UTC,7,1009.5,0,89,0,0,0,-1.5,46130,236,5.9,3.8
2020,1,9,21:00,UTC,5,1009.8,0,90,0,0,-0.3,-1.7,40730,249,5.4,3.7
2020,1,9,22:00,UTC,3,1009.9,0,93,0,0,-0.9,-1.9,39160,269,6.6,4.3
