"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","N2000-järjestelmässä [mm]"
"Pietarsaari Leppäluoto","1971","1","2","00:00","169"
"Pietarsaari Leppäluoto","1971","1","2","01:00","187"
"Pietarsaari Leppäluoto","1971","1","2","02:00","205"
"Pietarsaari Leppäluoto","1971","1","2","03:00","211"
"Pietarsaari Leppäluoto","1971","1","2","04:00","215"
"Pietarsaari Leppäluoto","1971","1","2","05:00","221"
"Pietarsaari Leppäluoto","1971","1","2","06:00","225"
"Pietarsaari Leppäluoto","1971","1","2","07:00","241"
"Pietarsaari Leppäluoto","1971","1","2","08:00","247"
"Pietarsaari Leppäluoto","1971","1","2","09:00","253"
"Pietarsaari Leppäluoto","1971","1","2","10:00","255"
"Pietarsaari Leppäluoto","1971","1","2","11:00","269"
"Pietarsaari Leppäluoto","1971","1","2","12:00","271"
"Pietarsaari Leppäluoto","1971","1","2","13:00","291"
"Pietarsaari Leppäluoto","1971","1","2","14:00","313"
"Pietarsaari Leppäluoto","1971","1","2","15:00","327"
"Pietarsaari Leppäluoto","1971","1","2","16:00","359"
"Pietarsaari Leppäluoto","1971","1","2","17:00","378"
"Pietarsaari Leppäluoto","1971","1","2","18:00","407"
"Pietarsaari Leppäluoto","1971","1","2","19:00","431"
"Pietarsaari Leppäluoto","1971","1","2","20:00","445"
"Pietarsaari Leppäluoto","1971","1","2","21:00","463"
"Pietarsaari Leppäluoto","1971","1","2","22:00","472"
"Pietarsaari Leppäluoto","1971","1","2","23:00","487"
"Pietarsaari Leppäluoto","1971","1","3","00:00","501"
"Pietarsaari Leppäluoto","1971","1","3","01:00","517"
"Pietarsaari Leppäluoto","1971","1","3","02:00","526"
"Pietarsaari Leppäluoto","1971","1","3","03:00","531"
"Pietarsaari Leppäluoto","1971","1","3","04:00","554"
"Pietarsaari Leppäluoto","1971","1","3","05:00","561"
"Pietarsaari Leppäluoto","1971","1","3","06:00","560"
"Pietarsaari Leppäluoto","1971","1","3","07:00","579"
"Pietarsaari Leppäluoto","1971","1","3","08:00","553"
"Pietarsaari Leppäluoto","1971","1","3","09:00","585"
"Pietarsaari Leppäluoto","1971","1","3","10:00","581"
"Pietarsaari Leppäluoto","1971","1","3","11:00","627"
"Pietarsaari Leppäluoto","1971","1","3","12:00","661"
"Pietarsaari Leppäluoto","1971","1","3","13:00","673"
"Pietarsaari Leppäluoto","1971","1","3","14:00","747"
"Pietarsaari Leppäluoto","1971","1","3","15:00","767"
"Pietarsaari Leppäluoto","1971","1","3","16:00","815"
"Pietarsaari Leppäluoto","1971","1","3","17:00","817"
"Pietarsaari Leppäluoto","1971","1","3","18:00","775"
"Pietarsaari Leppäluoto","1971","1","3","19:00","728"
"Pietarsaari Leppäluoto","1971","1","3","20:00","683"
"Pietarsaari Leppäluoto","1971","1","3","21:00","656"
