datetimeISO,year,month,day,hour,minute,second,value
2020-04-22T18:30:00.022465Z,2020,4,22,18,30,0,420.614
2020-04-22T19:29:59.916483Z,2020,4,22,19,30,0,420.918
2020-04-22T20:30:00.126721Z,2020,4,22,20,30,0,420.61
2020-04-22T21:30:00.020738Z,2020,4,22,21,30,0,421.096
2020-04-22T22:29:59.914755Z,2020,4,22,22,30,0,421.282
2020-04-22T23:30:00.124993Z,2020,4,22,23,30,0,421.546
2020-04-23T00:30:00.019010Z,2020,4,23,0,30,0,422.329
2020-04-23T01:29:59.913028Z,2020,4,23,1,30,0,422.789
2020-04-23T02:30:00.123265Z,2020,4,23,2,30,0,423.48
2020-04-23T03:30:00.017283Z,2020,4,23,3,30,0,423.568
2020-04-23T04:29:59.911293Z,2020,4,23,4,30,0,423.89
2020-04-23T05:30:00.121538Z,2020,4,23,5,30,0,423.197
2020-04-23T06:30:00.015555Z,2020,4,23,6,30,0,422.714
2020-04-23T07:29:59.909565Z,2020,4,23,7,30,0,421.182
2020-04-23T08:30:00.119810Z,2020,4,23,8,30,0,420.429
2020-04-23T09:30:00.013828Z,2020,4,23,9,30,0,420.354
2020-04-23T10:29:59.907838Z,2020,4,23,10,30,0,420.365
2020-04-23T11:30:00.118083Z,2020,4,23,11,30,0,420.363
2020-04-23T12:30:00.012093Z,2020,4,23,12,30,0,420.18
2020-04-23T13:29:59.906110Z,2020,4,23,13,30,0,419.952
2020-04-23T14:30:00.116355Z,2020,4,23,14,30,0,419.785
2020-04-23T15:30:00.010365Z,2020,4,23,15,30,0,419.642
2020-04-23T16:29:59.904383Z,2020,4,23,16,30,0,419.498
2020-04-23T17:30:00.114620Z,2020,4,23,17,30,0,419.761
2020-04-23T18:30:00.008638Z,2020,4,23,18,30,0,420.006
2020-04-23T19:29:59.902655Z,2020,4,23,19,30,0,419.793
2020-04-23T20:30:00.112893Z,2020,4,23,20,30,0,419.614
2020-04-23T21:30:00.006910Z,2020,4,23,21,30,0,419.78
2020-04-23T22:29:59.900927Z,2020,4,23,22,30,0,419.879
2020-04-23T23:30:00.111165Z,2020,4,23,23,30,0,419.903
2020-04-24T00:30:00.005183Z,2020,4,24,0,30,0,420.152
2020-04-24T01:29:59.899200Z,2020,4,24,1,30,0,420.655
2020-04-24T02:30:00.109438Z,2020,4,24,2,30,0,422.222
2020-04-24T03:30:00.003455Z,2020,4,24,3,30,0,422.868
2020-04-24T04:29:59.897472Z,2020,4,24,4,30,0,422.046
2020-04-24T05:30:00.107710Z,2020,4,24,5,30,0,421.622
2020-04-24T06:30:00.001728Z,2020,4,24,6,30,0,421.709
2020-04-24T07:29:59.895745Z,2020,4,24,7,30,0,421.452
2020-04-24T08:30:00.105983Z,2020,4,24,8,30,0,420.932
2020-04-24T09:30:00Z,2020,4,24,9,30,0,421.02
2020-04-24T13:29:59.892290Z,2020,4,24,13,30,0,420.337
2020-04-24T14:30:00.102528Z,2020,4,24,14,30,0,420.222
2020-04-24T15:29:59.996545Z,2020,4,24,15,30,0,420.28
