Entity,Code,Year,Gas Consumption - TWh,Coal Consumption - TWh,Oil Consumption - TWh
Africa,,1965,9.543754577636719,323.4961242675781,341.26275634765625
Africa,,1966,10.669916152954102,323.1221923828125,369.486572265625
Africa,,1967,10.545669555664062,330.29156494140625,368.125244140625
Africa,,1968,10.688969612121582,343.5129089355469,389.1998596191406
Africa,,1969,12.491999626159668,346.6429443359375,396.9228515625
Africa,,1970,15.52032470703125,360.75689697265625,433.7723083496094
Africa,,1971,18.405263900756836,383.0123291015625,473.5654296875
Africa,,1972,24.670656204223633,384.2108154296875,510.6726379394531
Africa,,1973,39.55179214477539,408.91033935546875,549.7197875976562
Africa,,1974,44.51848602294922,425.6462097167969,567.7996826171875
Africa,,1975,53.63837814331055,451.08050537109375,596.4046630859375
Africa,,1976,60.98139190673828,481.07415771484375,652.5804443359375
Africa,,1977,68.23419189453125,491.6984558105469,695.1663208007812
Africa,,1978,97.36990356445312,477.8155822753906,732.1810302734375
Africa,,1979,148.8428192138672,507.2469787597656,770.9386596679688
Africa,,1980,186.91397094726562,543.5570678710938,817.2388916015625
Africa,,1981,228.4911651611328,635.7987670898438,883.8618774414062
Africa,,1982,246.73355102539062,701.1759033203125,925.2272338867188
Africa,,1983,271.27532958984375,713.2460327148438,964.5521850585938
Africa,,1984,259.90277099609375,762.8978271484375,981.7520751953125
Africa,,1985,278.8427429199219,787.1658935546875,1007.0918579101562
Africa,,1986,313.2712097167969,805.3560791015625,988.5931396484375
Africa,,1987,323.3843688964844,828.3197021484375,1042.068603515625
Africa,,1988,358.4445495605469,890.1607666015625,1086.2681884765625
Africa,,1989,371.4710388183594,835.620849609375,1123.926513671875
Africa,,1990,398.6453857421875,877.6782836914062,1142.40283203125
Africa,,1991,401.6355895996094,853.7621459960938,1148.7052001953125
Africa,,1992,421.270263671875,858.8311767578125,1170.524658203125
Africa,,1993,412.64398193359375,871.7139282226562,1180.07666015625
Africa,,1994,431.82794189453125,894.4478149414062,1221.8846435546875
Africa,,1995,461.2434997558594,922.4712524414062,1266.78173828125
Africa,,1996,484.1917724609375,935.2282104492188,1293.97119140625
Africa,,1997,474.47552490234375,959.0191040039062,1332.2730712890625
Africa,,1998,499.33697509765625,937.0389404296875,1363.5086669921875
Africa,,1999,504.0196228027344,966.0106811523438,1414.5601806640625
Africa,,2000,556.8223876953125,963.7305908203125,1420.386474609375
Africa,,2001,634.6361694335938,975.92626953125,1432.664306640625
Africa,,2002,670.6054077148438,934.4215698242188,1479.16650390625
Africa,,2003,711.5067138671875,1017.0484008789062,1524.8150634765625
Africa,,2004,783.0681762695312,1119.161865234375,1586.5107421875
Africa,,2005,807.7815551757812,1039.0726318359375,1654.919189453125
Africa,,2006,843.4420776367188,1054.0970458984375,1673.716796875
Africa,,2007,900.0696411132812,1071.63330078125,1734.74072265625
Africa,,2008,935.162109375,1180.72509765625,1824.8509521484375
Africa,,2009,940.8606567382812,1176.0020751953125,1885.976318359375
