"Category","NOAA National Climatic Data Center","NASA Goddard Institute for Space Studies","Japanese Meteorological Agency","Met Office Hadley Centre/Climatic Research Unit"
1880,-0.2,-0.17,,-0.25
1881,-0.16,-0.09,,-0.17
1882,-0.16,-0.11,,-0.23
1883,-0.25,-0.18,,-0.28
1884,-0.34,-0.28,,-0.43
1885,-0.36,-0.33,,-0.4
1886,-0.29,-0.31,,-0.35
1887,-0.34,-0.36,,-0.43
1888,-0.2,-0.17,,-0.31
1889,-0.11,-0.1,,-0.18
1890,-0.31,-0.35,,-0.44
1891,-0.22,-0.23,-0.26,-0.33
1892,-0.29,-0.27,-0.37,-0.44
1893,-0.35,-0.31,-0.42,-0.43
1894,-0.26,-0.3,-0.34,-0.42
1895,-0.22,-0.22,-0.3,-0.38
1896,-0.09,-0.11,-0.09,-0.22
1897,-0.1,-0.1,-0.1,-0.19
1898,-0.26,-0.27,-0.27,-0.42
1899,-0.19,-0.17,-0.18,-0.29
1900,-0.12,-0.08,-0.1,-0.17
1901,-0.17,-0.15,-0.18,-0.23
1902,-0.26,-0.27,-0.31,-0.37
1903,-0.35,-0.37,-0.37,-0.47
1904,-0.46,-0.47,-0.42,-0.53
1905,-0.28,-0.26,-0.3,-0.34
1906,-0.24,-0.22,-0.22,-0.25
1907,-0.36,-0.38,-0.39,-0.44
1908,-0.43,-0.43,-0.42,-0.45
1909,-0.47,-0.48,-0.42,-0.47
1910,-0.43,-0.43,-0.4,-0.46
1911,-0.44,-0.44,-0.41,-0.47
1912,-0.36,-0.36,-0.34,-0.41
1913,-0.36,-0.34,-0.31,-0.4
1914,-0.18,-0.15,-0.14,-0.2
1915,-0.13,-0.14,-0.09,-0.13
1916,-0.35,-0.36,-0.33,-0.35
1917,-0.47,-0.46,-0.39,-0.48
1918,-0.32,-0.29,-0.26,-0.36
1919,-0.27,-0.28,-0.21,-0.26
1920,-0.28,-0.27,-0.17,-0.23
1921,-0.21,-0.19,-0.1,-0.17
1922,-0.28,-0.28,-0.19,-0.27
1923,-0.27,-0.26,-0.18,-0.25
1924,-0.26,-0.27,-0.19,-0.25
1925,-0.23,-0.22,-0.11,-0.22
1926,-0.12,-0.11,0.01,-0.06
1927,-0.21,-0.22,-0.1,-0.16
1928,-0.2,-0.2,-0.13,-0.14
1929,-0.34,-0.36,-0.23,-0.33
1930,-0.14,-0.16,-0.04,-0.11
1931,-0.09,-0.09,0.03,-0.04
1932,-0.16,-0.15,-0.04,-0.08
1933,-0.28,-0.28,-0.14,-0.26
1934,-0.14,-0.12,-0.03,-0.11
1935,-0.19,-0.19,-0.07,-0.14
1936,-0.15,-0.14,-0.01,-0.1
1937,-0.02,-0.02,0.08,0.05
1938,-0.01,0,0.08,0.05
1939,-0.02,-0.01,0,0.03
1940,0.13,0.13,-0.03,0.14
1941,0.19,0.19,0.07,0.1
1942,0.06,0.07,0.04,0.07
1943,0.07,0.09,0.03,0.07
1944,0.21,0.21,0.16,0.21
1945,0.11,0.09,0.03,0.11
1946,-0.07,-0.07,-0.06,-0.05
1947,-0.04,-0.02,-0.06,-0.02
1948,-0.09,-0.1,0.01,-0.06
1949,-0.09,-0.11,0.01,-0.08
1950,-0.15,-0.17,-0.11,-0.16
1951,-0.04,-0.07,0.02,0.01
1952,0.02,0.01,0.04,0.08
1953,0.1,0.08,0.11,0.14
1954,-0.1,-0.13,-0.12,-0.05
1955,-0.16,-0.14,-0.15,-0.13
1956,-0.2,-0.19,-0.24,-0.2
1957,0.03,0.05,0.03,0.03
1958,0.05,0.06,0.08,0.05
1959,0.04,0.03,0.02,0.02
1960,0,-0.03,-0.05,-0.05
1961,0.04,0.06,0.03,0.05
1962,0.02,0.03,0.03,0
1963,0.05,0.05,0.07,0.03
1964,-0.18,-0.2,-0.18,-0.24
1965,-0.09,-0.11,-0.11,-0.14
1966,-0.05,-0.06,-0.03,-0.08
1967,-0.02,-0.02,-0.03,-0.05
1968,-0.09,-0.08,-0.08,-0.1
1969,0.06,0.05,0.04,0.04
1970,0.02,0.03,-0.01,-0.02
1971,-0.08,-0.08,-0.14,-0.14
1972,0,0.01,-0.02,-0.03
1973,0.17,0.16,0.11,0.12
1974,-0.08,-0.07,-0.16,-0.11
1975,-0.02,-0.01,-0.11,-0.04
1976,-0.06,-0.1,-0.22,-0.15
1977,0.18,0.18,0.07,0.17
1978,0.08,0.07,0,0.07
1979,0.19,0.17,0.13,0.16
1980,0.26,0.26,0.14,0.26
1981,0.32,0.32,0.18,0.32
1982,0.16,0.14,0.05,0.1
1983,0.32,0.31,0.21,0.29
1984,0.17,0.16,0.01,0.11
1985,0.14,0.12,0.01,0.12
1986,0.19,0.18,0.1,0.16
1987,0.31,0.32,0.25,0.31
1988,0.39,0.39,0.24,0.35
1989,0.28,0.27,0.17,0.25
1990,0.42,0.45,0.33,0.43
1991,0.39,0.4,0.28,0.41
1992,0.2,0.22,0.13,0.19
1993,0.24,0.23,0.17,0.23
1994,0.29,0.31,0.25,0.3
1995,0.45,0.45,0.37,0.44
1996,0.33,0.33,0.24,0.34
1997,0.47,0.46,0.43,0.49
1998,0.6,0.61,0.58,0.64
1999,0.39,0.38,0.35,0.39
2000,0.4,0.39,0.33,0.4
2001,0.52,0.54,0.47,0.56
2002,0.59,0.63,0.52,0.61
2003,0.6,0.62,0.53,0.61
2004,0.52,0.53,0.47,0.53
2005,0.67,0.68,0.58,0.67
2006,0.63,0.64,0.54,0.64
2007,0.63,0.66,0.52,0.66
2008,0.52,0.54,0.44,0.53
2009,0.63,0.66,0.55,0.66
2010,0.7,0.72,0.63,0.75
2011,0.6,0.61,0.47,0.6
2012,0.63,0.65,0.53,0.64
2013,0.65,0.68,0.59,0.69
2014,0.74,0.75,0.65,0.74
2015,0.89,0.9,0.82,0.89
2016,1,1.02,0.87,1
2017,0.92,0.92,0.78,0.91
2018,0.83,0.85,0.68,0.83
2019,0.95,0.98,0.83,0.96
2020,0.98,1.02,0.86,0.99
2021,0.83,0.85,0.74,0.83
2022,0.88,0.9,0.76,0.87
