Entity,Code,Year,smaller_than_140m,between_140m_and_1km,larger_than_1km
World,OWID_WRL,1900,0,0,1
World,OWID_WRL,1910,0,0,1
World,OWID_WRL,1920,0,0,3
World,OWID_WRL,1930,0,0,5
World,OWID_WRL,1940,0,1,8
World,OWID_WRL,1950,0,1,12
World,OWID_WRL,1960,0,2,18
World,OWID_WRL,1970,0,3,24
World,OWID_WRL,1980,0,8,43
World,OWID_WRL,1990,0,46,88
World,OWID_WRL,2000,115,463,302
World,OWID_WRL,2001,169,684,389
World,OWID_WRL,2002,260,970,455
World,OWID_WRL,2003,363,1281,531
World,OWID_WRL,2004,483,1546,585
World,OWID_WRL,2005,678,1840,634
World,OWID_WRL,2006,930,2169,683
World,OWID_WRL,2007,1202,2505,715
World,OWID_WRL,2008,1510,2824,740
World,OWID_WRL,2009,1928,3190,760
World,OWID_WRL,2010,2828,3870,795
World,OWID_WRL,2011,3362,4245,810
World,OWID_WRL,2012,3943,4607,829
World,OWID_WRL,2013,4587,4988,841
World,OWID_WRL,2014,5572,5459,847
World,OWID_WRL,2015,6536,5966,854
World,OWID_WRL,2016,7933,6535,861
World,OWID_WRL,2017,9382,7050,867
World,OWID_WRL,2018,10820,7499,872
World,OWID_WRL,2019,12680,8020,877
World,OWID_WRL,2020,15032,8554,880
World,OWID_WRL,2021,17743,9044,885
